sezon,data,godz,cena_pln_mwh
Zima,2025-01-01,0,16.26
Zima,2025-01-01,1,-8.78
Zima,2025-01-01,2,-16.61
Zima,2025-01-01,3,-25.25
Zima,2025-01-01,4,-44.25
Zima,2025-01-01,5,-38.97
Zima,2025-01-01,6,-79.79
Zima,2025-01-01,7,-87.6
Zima,2025-01-01,8,-128.09
Zima,2025-01-01,9,-245.07
Zima,2025-01-01,10,-282.14
Zima,2025-01-01,11,-261.04
Zima,2025-01-01,12,-202.28
Zima,2025-01-01,13,-45.46
Zima,2025-01-01,14,-16.57
Zima,2025-01-01,15,37.24
Zima,2025-01-01,16,57.39
Zima,2025-01-01,17,59.24
Zima,2025-01-01,18,53.25
Zima,2025-01-01,19,50.36
Zima,2025-01-01,20,44.86
Zima,2025-01-01,21,21.63
Zima,2025-01-01,22,17.41
Zima,2025-01-01,23,-18.59
Zima,2025-01-02,0,-64.55
Zima,2025-01-02,1,-41.34
Zima,2025-01-02,2,-61.96
Zima,2025-01-02,3,-45.05
Zima,2025-01-02,4,-48.09
Zima,2025-01-02,5,-2.15
Zima,2025-01-02,6,145.48
Zima,2025-01-02,7,354.88
Zima,2025-01-02,8,413.92
Zima,2025-01-02,9,438.65
Zima,2025-01-02,10,441.66
Zima,2025-01-02,11,423.24
Zima,2025-01-02,12,395.69
Zima,2025-01-02,13,434.32
Zima,2025-01-02,14,464.27
Zima,2025-01-02,15,530.56
Zima,2025-01-02,16,562.68
Zima,2025-01-02,17,603.2
Zima,2025-01-02,18,611.04
Zima,2025-01-02,19,560.38
Zima,2025-01-02,20,530.92
Zima,2025-01-02,21,448.25
Zima,2025-01-02,22,436.85
Zima,2025-01-02,23,340.2
Zima,2025-01-03,0,372.26
Zima,2025-01-03,1,309.72
Zima,2025-01-03,2,302.08
Zima,2025-01-03,3,295.58
Zima,2025-01-03,4,259.27
Zima,2025-01-03,5,308.95
Zima,2025-01-03,6,424.17
Zima,2025-01-03,7,426.97
Zima,2025-01-03,8,465.0
Zima,2025-01-03,9,452.83
Zima,2025-01-03,10,383.48
Zima,2025-01-03,11,347.87
Zima,2025-01-03,12,363.03
Zima,2025-01-03,13,373.91
Zima,2025-01-03,14,396.07
Zima,2025-01-03,15,423.62
Zima,2025-01-03,16,460.92
Zima,2025-01-03,17,470.99
Zima,2025-01-03,18,475.65
Zima,2025-01-03,19,474.36
Zima,2025-01-03,20,421.97
Zima,2025-01-03,21,379.25
Zima,2025-01-03,22,380.03
Zima,2025-01-03,23,296.83
Zima,2025-01-04,0,253.87
Zima,2025-01-04,1,270.45
Zima,2025-01-04,2,248.8
Zima,2025-01-04,3,280.62
Zima,2025-01-04,4,321.18
Zima,2025-01-04,5,368.49
Zima,2025-01-04,6,424.43
Zima,2025-01-04,7,495.95
Zima,2025-01-04,8,538.93
Zima,2025-01-04,9,555.6
Zima,2025-01-04,10,536.41
Zima,2025-01-04,11,524.2
Zima,2025-01-04,12,527.42
Zima,2025-01-04,13,545.1
Zima,2025-01-04,14,601.62
Zima,2025-01-04,15,761.95
Zima,2025-01-04,16,638.12
Zima,2025-01-04,17,654.42
Zima,2025-01-04,18,622.13
Zima,2025-01-04,19,592.64
Zima,2025-01-04,20,556.66
Zima,2025-01-04,21,512.79
Zima,2025-01-04,22,490.3
Zima,2025-01-04,23,441.84
Zima,2025-01-05,0,437.3
Zima,2025-01-05,1,393.55
Zima,2025-01-05,2,376.88
Zima,2025-01-05,3,368.26
Zima,2025-01-05,4,359.93
Zima,2025-01-05,5,341.2
Zima,2025-01-05,6,334.88
Zima,2025-01-05,7,379.09
Zima,2025-01-05,8,406.59
