hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.549,1.1,0.62,1.2641,0.6039,0.3404,0.694,False
2026-07-20T01:00:00,0.2049,1.1,0.62,1.2248,0.2254,0.127,0.251,False
2026-07-20T02:00:00,0.4066,1.1,0.62,1.168,0.4473,0.2521,0.4749,False
2026-07-20T03:00:00,0.4233,1.1,0.62,1.1419,0.4656,0.2624,0.4833,False
2026-07-20T04:00:00,0.2067,1.1,0.62,1.1401,0.2274,0.1282,0.2357,False
2026-07-20T05:00:00,0.4349,1.1,0.62,1.1836,0.4784,0.2696,0.5147,False
2026-07-20T06:00:00,0.2574,1.1,1.25,1.2988,0.2831,0.3217,0.3343,False
2026-07-20T07:00:00,0.6136,1.1,1.25,1.3014,0.6749,0.7669,0.7985,False
2026-07-20T08:00:00,0.2357,1.1,1.25,1.214,0.2593,0.2946,0.2861,False
2026-07-20T09:00:00,0.222,1.1,1.25,1.0455,0.2442,0.2776,0.2321,False
2026-07-20T10:00:00,0.6112,1.1,1.25,0.891,0.6724,0.764,0.5446,False
2026-07-20T11:00:00,0.2086,1.1,1.25,0.7914,0.2294,0.2607,0.165,False
2026-07-20T12:00:00,0.3364,1.1,1.25,0.7834,0.37,0.4204,0.2635,False
2026-07-20T13:00:00,0.2697,1.1,0.62,0.7238,0.2967,0.1672,0.1952,False
2026-07-20T14:00:00,0.3638,1.1,0.62,0.7416,0.4001,0.2255,0.2698,False
2026-07-20T15:00:00,0.3658,1.1,1.25,0.9041,0.4023,0.4572,0.3307,False
2026-07-20T16:00:00,0.2259,1.1,1.25,1.0216,0.2485,0.2824,0.2308,False
2026-07-20T17:00:00,0.4485,1.1,1.25,1.1642,0.4933,0.5606,0.5221,False
2026-07-20T18:00:00,1.6914,1.1,1.25,1.3118,1.8606,2.1143,2.2189,False
2026-07-20T19:00:00,2.448,1.1,1.25,1.446,2.6928,3.06,3.5398,False
2026-07-20T20:00:00,3.4068,1.1,1.25,1.5031,3.7475,4.2585,5.1209,False
2026-07-20T21:00:00,1.7989,1.1,1.25,1.4755,1.9788,2.2487,2.6544,False
2026-07-20T22:00:00,0.6949,1.1,0.62,1.4187,0.7644,0.4308,0.9859,False
2026-07-20T23:00:00,0.4229,1.1,0.62,1.3391,0.4652,0.2622,0.5664,False
2026-07-21T00:00:00,0.2168,1.1,0.62,1.2936,0.2385,0.1344,0.2805,False
2026-07-21T01:00:00,0.5707,1.1,0.62,1.2613,0.6278,0.3538,0.7198,False
2026-07-21T02:00:00,0.2117,1.1,0.62,1.2107,0.2328,0.1312,0.2562,False
2026-07-21T03:00:00,0.2176,1.1,0.62,1.2058,0.2394,0.1349,0.2624,False
2026-07-21T04:00:00,0.5945,1.1,0.62,1.2153,0.6539,0.3686,0.7224,False
2026-07-21T05:00:00,0.2353,1.1,0.62,1.2372,0.2589,0.1459,0.2912,False
2026-07-21T06:00:00,0.4281,1.1,1.25,1.3501,0.471,0.5352,0.578,False
2026-07-21T07:00:00,0.2996,1.1,1.25,1.3578,0.3295,0.3744,0.4067,False
2026-07-21T08:00:00,0.3464,1.1,1.25,1.2882,0.381,0.4329,0.4462,False
2026-07-21T09:00:00,0.4129,1.1,1.25,1.1358,0.4542,0.5162,0.469,False
2026-07-21T10:00:00,0.2033,1.1,1.25,0.9942,0.2236,0.2541,0.2021,False
2026-07-21T11:00:00,0.5967,1.1,1.25,0.9009,0.6563,0.7458,0.5376,False
2026-07-21T12:00:00,0.2163,1.1,1.25,0.8098,0.2379,0.2704,0.1752,False
2026-07-21T13:00:00,0.1976,1.1,0.62,0.7569,0.2173,0.1225,0.1496,False
2026-07-21T14:00:00,0.4275,1.1,0.62,0.7622,0.4702,0.265,0.3258,False
2026-07-21T15:00:00,0.37,1.1,1.25,0.8381,0.4071,0.4626,0.3101,False
2026-07-21T16:00:00,0.4005,1.1,1.25,0.9613,0.4405,0.5006,0.385,False
2026-07-21T17:00:00,0.3234,1.1,1.25,1.121,0.3557,0.4042,0.3625,False
2026-07-21T18:00:00,1.4728,1.1,1.25,1.271,1.6201,1.841,1.8719,False
2026-07-21T19:00:00,2.7739,1.1,1.25,1.3767,3.0513,3.4674,3.819,False
2026-07-21T20:00:00,3.3939,1.1,1.25,1.441,3.7333,4.2424,4.8907,False
