hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.0181,1.1,0.62,1.2641,1.1199,0.6312,1.287,False
2026-07-20T01:00:00,0.3014,1.1,0.62,1.2248,0.3316,0.1869,0.3692,False
2026-07-20T02:00:00,0.7916,1.1,0.62,1.168,0.8707,0.4908,0.9246,False
2026-07-20T03:00:00,0.7788,1.1,0.62,1.1419,0.8567,0.4829,0.8894,False
2026-07-20T04:00:00,0.4738,1.1,0.62,1.1401,0.5212,0.2938,0.5402,False
2026-07-20T05:00:00,0.7172,1.1,0.62,1.1836,0.7889,0.4447,0.8489,False
2026-07-20T06:00:00,0.3799,1.1,1.25,1.2988,0.4179,0.4749,0.4934,False
2026-07-20T07:00:00,0.6425,1.1,1.25,1.3014,0.7068,0.8032,0.8362,False
2026-07-20T08:00:00,0.1028,1.1,1.25,1.214,0.1131,0.1285,0.1248,False
2026-07-20T09:00:00,0.2175,1.1,1.25,1.0455,0.2393,0.2719,0.2274,False
2026-07-20T10:00:00,0.4141,1.1,1.25,0.891,0.4555,0.5176,0.369,False
2026-07-20T11:00:00,0.2477,1.1,1.25,0.7914,0.2725,0.3097,0.196,False
2026-07-20T12:00:00,0.7705,1.1,1.25,0.7834,0.8475,0.9631,0.6036,False
2026-07-20T13:00:00,1.0694,1.1,0.62,0.7238,1.1764,0.663,0.7741,False
2026-07-20T14:00:00,0.8747,1.1,0.62,0.7416,0.9621,0.5423,0.6486,False
2026-07-20T15:00:00,0.9213,1.1,1.25,0.9041,1.0134,1.1516,0.8329,False
2026-07-20T16:00:00,0.9435,1.1,1.25,1.0216,1.0378,1.1794,0.9639,False
2026-07-20T17:00:00,0.9857,1.1,1.25,1.1642,1.0843,1.2322,1.1476,False
2026-07-20T18:00:00,1.0991,1.1,1.25,1.3118,1.209,1.3739,1.4419,False
2026-07-20T19:00:00,1.8441,1.1,1.25,1.446,2.0285,2.3051,2.6665,False
2026-07-20T20:00:00,2.9337,1.1,1.25,1.5031,3.2271,3.6671,4.4097,False
2026-07-20T21:00:00,1.3644,1.1,1.25,1.4755,1.5008,1.7054,2.0131,False
2026-07-20T22:00:00,1.2352,1.1,0.62,1.4187,1.3588,0.7659,1.7525,False
2026-07-20T23:00:00,0.8331,1.1,0.62,1.3391,0.9164,0.5165,1.1157,False
2026-07-21T00:00:00,0.4594,1.1,0.62,1.2936,0.5054,0.2848,0.5943,False
2026-07-21T01:00:00,0.8824,1.1,0.62,1.2613,0.9706,0.5471,1.1129,False
2026-07-21T02:00:00,0.3888,1.1,0.62,1.2107,0.4277,0.2411,0.4708,False
2026-07-21T03:00:00,0.5167,1.1,0.62,1.2058,0.5684,0.3204,0.623,False
2026-07-21T04:00:00,0.9883,1.1,0.62,1.2153,1.0871,0.6128,1.2011,False
2026-07-21T05:00:00,0.477,1.1,0.62,1.2372,0.5247,0.2957,0.5902,False
2026-07-21T06:00:00,0.3143,1.1,1.25,1.3501,0.3458,0.3929,0.4244,False
2026-07-21T07:00:00,0.4967,1.1,1.25,1.3578,0.5464,0.6209,0.6745,False
2026-07-21T08:00:00,0.2622,1.1,1.25,1.2882,0.2884,0.3277,0.3377,False
2026-07-21T09:00:00,0.286,1.1,1.25,1.1358,0.3146,0.3575,0.3249,False
2026-07-21T10:00:00,0.2528,1.1,1.25,0.9942,0.2781,0.316,0.2514,False
2026-07-21T11:00:00,0.4227,1.1,1.25,0.9009,0.465,0.5284,0.3808,False
2026-07-21T12:00:00,0.9152,1.1,1.25,0.8098,1.0068,1.144,0.7412,False
2026-07-21T13:00:00,0.4842,1.1,0.62,0.7569,0.5327,0.3002,0.3665,False
2026-07-21T14:00:00,1.2195,1.1,0.62,0.7622,1.3415,0.7561,0.9295,False
2026-07-21T15:00:00,0.9332,1.1,1.25,0.8381,1.0265,1.1664,0.7821,False
2026-07-21T16:00:00,0.8851,1.1,1.25,0.9613,0.9736,1.1063,0.8508,False
2026-07-21T17:00:00,1.0436,1.1,1.25,1.121,1.148,1.3045,1.1699,False
2026-07-21T18:00:00,0.7079,1.1,1.25,1.271,0.7787,0.8849,0.8998,False
