hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.3973,1.1,0.62,1.2641,0.437,0.2463,0.5022,False
2026-07-20T01:00:00,0.0478,1.1,0.62,1.2248,0.0526,0.0296,0.0585,False
2026-07-20T02:00:00,0.3919,1.1,0.62,1.168,0.4311,0.243,0.4578,False
2026-07-20T03:00:00,0.2357,1.1,0.62,1.1419,0.2593,0.1462,0.2692,False
2026-07-20T04:00:00,0.2283,1.1,0.62,1.1401,0.2511,0.1415,0.2603,False
2026-07-20T05:00:00,0.2652,1.1,0.62,1.1836,0.2917,0.1644,0.3139,False
2026-07-20T06:00:00,0.2566,1.1,1.25,1.2988,0.2822,0.3207,0.3333,False
2026-07-20T07:00:00,0.4653,1.1,1.25,1.3014,0.5119,0.5817,0.6056,False
2026-07-20T08:00:00,0.0765,1.1,1.25,1.214,0.0842,0.0957,0.0929,False
2026-07-20T09:00:00,0.2126,1.1,1.25,1.0455,0.2338,0.2657,0.2222,False
2026-07-20T10:00:00,0.4586,1.1,1.25,0.891,0.5045,0.5733,0.4086,False
2026-07-20T11:00:00,0.2109,1.1,1.25,0.7914,0.232,0.2636,0.1669,False
2026-07-20T12:00:00,0.2331,1.1,1.25,0.7834,0.2564,0.2913,0.1826,False
2026-07-20T13:00:00,0.2321,1.1,0.62,0.7238,0.2553,0.1439,0.168,False
2026-07-20T14:00:00,0.1884,1.1,0.62,0.7416,0.2073,0.1168,0.1397,False
2026-07-20T15:00:00,0.2311,1.1,1.25,0.9041,0.2542,0.2888,0.2089,False
2026-07-20T16:00:00,0.2002,1.1,1.25,1.0216,0.2202,0.2503,0.2045,False
2026-07-20T17:00:00,0.385,1.1,1.25,1.1642,0.4235,0.4813,0.4482,False
2026-07-20T18:00:00,0.2971,1.1,1.25,1.3118,0.3269,0.3714,0.3898,False
2026-07-20T19:00:00,1.4904,1.1,1.25,1.446,1.6395,1.8631,2.1552,False
2026-07-20T20:00:00,2.3209,1.1,1.25,1.5031,2.5529,2.9011,3.4885,False
2026-07-20T21:00:00,0.5547,1.1,1.25,1.4755,0.6102,0.6934,0.8185,False
2026-07-20T22:00:00,0.4335,1.1,0.62,1.4187,0.4769,0.2688,0.6151,False
2026-07-20T23:00:00,0.341,1.1,0.62,1.3391,0.3751,0.2114,0.4567,False
2026-07-21T00:00:00,0.2213,1.1,0.62,1.2936,0.2434,0.1372,0.2863,False
2026-07-21T01:00:00,0.404,1.1,0.62,1.2613,0.4444,0.2505,0.5096,False
2026-07-21T02:00:00,0.0636,1.1,0.62,1.2107,0.0699,0.0394,0.077,False
2026-07-21T03:00:00,0.2333,1.1,0.62,1.2058,0.2566,0.1446,0.2813,False
2026-07-21T04:00:00,0.4246,1.1,0.62,1.2153,0.4671,0.2633,0.516,False
2026-07-21T05:00:00,0.2111,1.1,0.62,1.2372,0.2322,0.1309,0.2612,False
2026-07-21T06:00:00,0.2927,1.1,1.25,1.3501,0.3219,0.3658,0.3951,False
2026-07-21T07:00:00,0.3057,1.1,1.25,1.3578,0.3362,0.3821,0.415,False
2026-07-21T08:00:00,0.189,1.1,1.25,1.2882,0.2079,0.2363,0.2435,False
2026-07-21T09:00:00,0.2627,1.1,1.25,1.1358,0.289,0.3284,0.2984,False
2026-07-21T10:00:00,0.2196,1.1,1.25,0.9942,0.2415,0.2745,0.2183,False
2026-07-21T11:00:00,0.4013,1.1,1.25,0.9009,0.4414,0.5016,0.3615,False
2026-07-21T12:00:00,0.2129,1.1,1.25,0.8098,0.2341,0.2661,0.1724,False
2026-07-21T13:00:00,0.0502,1.1,0.62,0.7569,0.0552,0.0311,0.038,False
2026-07-21T14:00:00,0.4326,1.1,0.62,0.7622,0.4759,0.2682,0.3297,False
2026-07-21T15:00:00,0.228,1.1,1.25,0.8381,0.2508,0.285,0.1911,False
2026-07-21T16:00:00,0.2781,1.1,1.25,0.9613,0.3059,0.3476,0.2673,False
2026-07-21T17:00:00,0.2544,1.1,1.25,1.121,0.2799,0.318,0.2852,False
2026-07-21T18:00:00,0.3133,1.1,1.25,1.271,0.3447,0.3917,0.3983,False
2026-07-21T19:00:00,1.7733,1.1,1.25,1.3767,1.9506,2.2166,2.4413,False
2026-07-21T20:00:00,2.053,1.1,1.25,1.441,2.2583,2.5663,2.9584,False
2026-07-21T21:00:00,0.656,1.1,1.25,1.4429,0.7216,0.82,0.9466,False
2026-07-21T22:00:00,0.4943,1.1,0.62,1.4043,0.5437,0.3064,0.6941,False
2026-07-21T23:00:00,0.2886,1.1,0.62,1.3433,0.3174,0.1789,0.3877,False
2026-07-22T00:00:00,0.268,1.1,0.62,1.3292,0.2948,0.1662,0.3563,False
2026-07-22T01:00:00,0.2212,1.1,0.62,1.2896,0.2434,0.1372,0.2853,False
2026-07-22T02:00:00,0.4146,1.1,0.62,1.2332,0.4561,0.2571,0.5113,False
2026-07-22T03:00:00,0.074,1.1,0.62,1.2287,0.0814,0.0459,0.0909,False
2026-07-22T04:00:00,0.2125,1.1,0.62,1.2236,0.2338,0.1318,0.26,False
2026-07-22T05:00:00,0.4222,1.1,0.62,1.2222,0.4644,0.2618,0.516,False
2026-07-22T06:00:00,0.2722,1.1,1.25,1.3004,0.2994,0.3402,0.3539,False
2026-07-22T07:00:00,0.304,1.1,1.25,1.2862,0.3344,0.3801,0.3911,False
2026-07-22T08:00:00,0.2227,1.1,1.25,1.2121,0.2449,0.2783,0.2699,False
2026-07-22T09:00:00,0.1998,1.1,1.25,1.0231,0.2198,0.2498,0.2044,False
2026-07-22T10:00:00,0.2298,1.1,1.25,0.8315,0.2527,0.2872,0.191,False
2026-07-22T11:00:00,0.2254,1.1,1.25,0.6759,0.2479,0.2817,0.1524,False
2026-07-22T12:00:00,0.3828,1.1,1.25,0.639,0.4211,0.4785,0.2446,False
2026-07-22T13:00:00,0.2691,1.1,0.62,0.6154,0.296,0.1669,0.1656,False
2026-07-22T14:00:00,0.0493,1.1,0.62,0.653,0.0542,0.0305,0.0322,False
2026-07-22T15:00:00,0.3951,1.1,1.25,0.8804,0.4346,0.4939,0.3478,False
2026-07-22T16:00:00,0.2372,1.1,1.25,1.028,0.261,0.2965,0.2439,False
2026-07-22T17:00:00,0.2016,1.1,1.25,1.1228,0.2218,0.252,0.2264,False
2026-07-22T18:00:00,0.3561,1.1,1.25,1.2705,0.3917,0.4451,0.4524,False
2026-07-22T19:00:00,1.5295,1.1,1.25,1.394,1.6825,1.9119,2.1321,False
2026-07-22T20:00:00,2.4341,1.1,1.25,1.4177,2.6776,3.0427,3.4508,False
2026-07-22T21:00:00,0.3834,1.1,1.25,1.3918,0.4217,0.4792,0.5336,False
2026-07-22T22:00:00,0.4732,1.1,0.62,1.3264,0.5206,0.2934,0.6277,False
2026-07-22T23:00:00,0.4942,1.1,0.62,1.2654,0.5436,0.3064,0.6254,False
2026-07-23T00:00:00,0.2226,1.1,0.62,1.2554,0.2449,0.138,0.2795,False
2026-07-23T01:00:00,0.2104,1.1,0.62,1.2294,0.2315,0.1305,0.2587,False
2026-07-23T02:00:00,0.2367,1.1,0.62,1.2075,0.2604,0.1468,0.2858,False
2026-07-23T03:00:00,0.2222,1.1,0.62,1.2037,0.2444,0.1378,0.2675,False
2026-07-23T04:00:00,0.2651,1.1,0.62,1.2124,0.2916,0.1644,0.3214,False
2026-07-23T05:00:00,0.2312,1.1,0.62,1.244,0.2543,0.1433,0.2876,False
2026-07-23T06:00:00,0.4544,1.1,1.25,1.3275,0.4999,0.568,0.6032,False
