hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.8501,1.1,0.62,1.2641,0.9351,0.5271,1.0746,False
2026-07-20T01:00:00,0.3725,1.1,0.62,1.2248,0.4098,0.231,0.4563,False
2026-07-20T02:00:00,0.559,1.1,0.62,1.168,0.6149,0.3466,0.6529,False
2026-07-20T03:00:00,0.728,1.1,0.62,1.1419,0.8008,0.4514,0.8313,False
2026-07-20T04:00:00,0.3426,1.1,0.62,1.1401,0.3768,0.2124,0.3906,False
2026-07-20T05:00:00,0.9866,1.1,0.62,1.1836,1.0852,0.6117,1.1677,False
2026-07-20T06:00:00,1.9761,1.1,1.25,1.2988,2.1737,2.4701,2.5665,False
2026-07-20T07:00:00,2.3124,1.1,1.25,1.3014,2.5437,2.8905,3.0094,False
2026-07-20T08:00:00,0.5442,1.1,1.25,1.214,0.5986,0.6802,0.6606,False
2026-07-20T09:00:00,0.379,1.1,1.25,1.0455,0.4169,0.4737,0.3962,False
2026-07-20T10:00:00,1.0061,1.1,1.25,0.891,1.1067,1.2576,0.8964,False
2026-07-20T11:00:00,0.3627,1.1,1.25,0.7914,0.3989,0.4533,0.287,False
2026-07-20T12:00:00,0.5272,1.1,1.25,0.7834,0.5799,0.659,0.413,False
2026-07-20T13:00:00,0.6077,1.1,0.62,0.7238,0.6685,0.3768,0.4399,False
2026-07-20T14:00:00,0.5361,1.1,0.62,0.7416,0.5897,0.3324,0.3976,False
2026-07-20T15:00:00,0.7621,1.1,1.25,0.9041,0.8383,0.9526,0.689,False
2026-07-20T16:00:00,0.4046,1.1,1.25,1.0216,0.445,0.5057,0.4133,False
2026-07-20T17:00:00,2.1322,1.1,1.25,1.1642,2.3454,2.6652,2.4822,False
2026-07-20T18:00:00,2.9838,1.1,1.25,1.3118,3.2822,3.7298,3.9143,False
2026-07-20T19:00:00,4.0416,1.1,1.25,1.446,4.4457,5.052,5.8442,False
2026-07-20T20:00:00,4.7393,1.1,1.25,1.5031,5.2132,5.9241,7.1237,False
2026-07-20T21:00:00,4.1082,1.1,1.25,1.4755,4.519,5.1352,6.0617,False
2026-07-20T22:00:00,3.753,1.1,0.62,1.4187,4.1283,2.3269,5.3246,False
2026-07-20T23:00:00,1.185,1.1,0.62,1.3391,1.3035,0.7347,1.5868,False
2026-07-21T00:00:00,0.3866,1.1,0.62,1.2936,0.4253,0.2397,0.5001,False
2026-07-21T01:00:00,0.9079,1.1,0.62,1.2613,0.9987,0.5629,1.1452,False
2026-07-21T02:00:00,0.4323,1.1,0.62,1.2107,0.4756,0.268,0.5234,False
2026-07-21T03:00:00,0.3723,1.1,0.62,1.2058,0.4095,0.2308,0.4489,False
2026-07-21T04:00:00,0.915,1.1,0.62,1.2153,1.0065,0.5673,1.112,False
2026-07-21T05:00:00,0.635,1.1,0.62,1.2372,0.6985,0.3937,0.7856,False
2026-07-21T06:00:00,2.2649,1.1,1.25,1.3501,2.4914,2.8312,3.0579,False
2026-07-21T07:00:00,1.9716,1.1,1.25,1.3578,2.1687,2.4645,2.6771,False
2026-07-21T08:00:00,0.5825,1.1,1.25,1.2882,0.6408,0.7282,0.7504,False
2026-07-21T09:00:00,0.8108,1.1,1.25,1.1358,0.8918,1.0135,0.9209,False
2026-07-21T10:00:00,0.3815,1.1,1.25,0.9942,0.4197,0.4769,0.3793,False
2026-07-21T11:00:00,0.7355,1.1,1.25,0.9009,0.809,0.9193,0.6626,False
2026-07-21T12:00:00,0.5583,1.1,1.25,0.8098,0.6141,0.6979,0.4521,False
2026-07-21T13:00:00,0.406,1.1,0.62,0.7569,0.4466,0.2517,0.3073,False
2026-07-21T14:00:00,0.7822,1.1,0.62,0.7622,0.8604,0.4849,0.5962,False
2026-07-21T15:00:00,0.5018,1.1,1.25,0.8381,0.5519,0.6272,0.4205,False
2026-07-21T16:00:00,0.589,1.1,1.25,0.9613,0.6479,0.7363,0.5662,False
2026-07-21T17:00:00,2.2448,1.1,1.25,1.121,2.4693,2.8061,2.5165,False
2026-07-21T18:00:00,2.6199,1.1,1.25,1.271,2.8819,3.2749,3.33,False
2026-07-21T19:00:00,4.6747,1.1,1.25,1.3767,5.1422,5.8434,6.4359,False
2026-07-21T20:00:00,4.4503,1.1,1.25,1.441,4.8954,5.5629,6.413,False
2026-07-21T21:00:00,3.9479,1.1,1.25,1.4429,4.3427,4.9349,5.6963,False
2026-07-21T22:00:00,4.2496,1.1,0.62,1.4043,4.6745,2.6347,5.9676,False
2026-07-21T23:00:00,0.8555,1.1,0.62,1.3433,0.9411,0.5304,1.1493,False
2026-07-22T00:00:00,0.7602,1.1,0.62,1.3292,0.8362,0.4713,1.0105,False
2026-07-22T01:00:00,0.3773,1.1,0.62,1.2896,0.415,0.2339,0.4866,False
2026-07-22T02:00:00,0.7153,1.1,0.62,1.2332,0.7869,0.4435,0.8822,False
2026-07-22T03:00:00,0.5884,1.1,0.62,1.2287,0.6473,0.3648,0.723,False
2026-07-22T04:00:00,0.3968,1.1,0.62,1.2236,0.4365,0.246,0.4856,False
2026-07-22T05:00:00,1.1484,1.1,0.62,1.2222,1.2632,0.712,1.4035,False
2026-07-22T06:00:00,1.9587,1.1,1.25,1.3004,2.1546,2.4484,2.5471,False
2026-07-22T07:00:00,2.167,1.1,1.25,1.2862,2.3837,2.7088,2.7872,False
2026-07-22T08:00:00,0.6024,1.1,1.25,1.2121,0.6627,0.753,0.7302,False
