hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.6213,1.1,0.62,1.2641,0.6834,0.3852,0.7854,False
2026-07-20T01:00:00,0.227,1.1,0.62,1.2248,0.2498,0.1408,0.2781,False
2026-07-20T02:00:00,0.5889,1.1,0.62,1.168,0.6478,0.3651,0.6878,False
2026-07-20T03:00:00,0.4504,1.1,0.62,1.1419,0.4954,0.2793,0.5143,False
2026-07-20T04:00:00,0.2523,1.1,0.62,1.1401,0.2775,0.1564,0.2876,False
2026-07-20T05:00:00,0.595,1.1,0.62,1.1836,0.6545,0.3689,0.7042,False
2026-07-20T06:00:00,0.2416,1.1,1.25,1.2988,0.2657,0.302,0.3138,False
2026-07-20T07:00:00,0.7662,1.1,1.25,1.3014,0.8428,0.9578,0.9972,False
2026-07-20T08:00:00,0.5873,1.1,1.25,1.214,0.646,0.7341,0.7129,False
2026-07-20T09:00:00,0.8257,1.1,1.25,1.0455,0.9083,1.0322,0.8633,False
2026-07-20T10:00:00,0.9114,1.1,1.25,0.891,1.0025,1.1392,0.812,False
2026-07-20T11:00:00,0.5056,1.1,1.25,0.7914,0.5562,0.632,0.4001,False
2026-07-20T12:00:00,1.6991,1.1,1.25,0.7834,1.8691,2.1239,1.3312,False
2026-07-20T13:00:00,0.7327,1.1,0.62,0.7238,0.8059,0.4542,0.5303,False
2026-07-20T14:00:00,2.3829,1.1,0.62,0.7416,2.6212,1.4774,1.7671,False
2026-07-20T15:00:00,1.4787,1.1,1.25,0.9041,1.6266,1.8484,1.3369,False
2026-07-20T16:00:00,0.5995,1.1,1.25,1.0216,0.6595,0.7494,0.6125,False
2026-07-20T17:00:00,0.7603,1.1,1.25,1.1642,0.8363,0.9504,0.8851,False
2026-07-20T18:00:00,1.5152,1.1,1.25,1.3118,1.6667,1.894,1.9877,False
2026-07-20T19:00:00,1.4603,1.1,1.25,1.446,1.6063,1.8254,2.1116,False
2026-07-20T20:00:00,2.7063,1.1,1.25,1.5031,2.977,3.3829,4.068,False
2026-07-20T21:00:00,2.4293,1.1,1.25,1.4755,2.6722,3.0366,3.5845,False
2026-07-20T22:00:00,0.6627,1.1,0.62,1.4187,0.729,0.4109,0.9402,False
2026-07-20T23:00:00,0.6134,1.1,0.62,1.3391,0.6747,0.3803,0.8214,False
2026-07-21T00:00:00,0.2347,1.1,0.62,1.2936,0.2581,0.1455,0.3035,False
2026-07-21T01:00:00,0.6184,1.1,0.62,1.2613,0.6803,0.3834,0.78,False
2026-07-21T02:00:00,0.2231,1.1,0.62,1.2107,0.2454,0.1383,0.2701,False
2026-07-21T03:00:00,0.3756,1.1,0.62,1.2058,0.4132,0.2329,0.4529,False
2026-07-21T04:00:00,0.5718,1.1,0.62,1.2153,0.629,0.3545,0.6949,False
2026-07-21T05:00:00,0.2314,1.1,0.62,1.2372,0.2546,0.1435,0.2863,False
2026-07-21T06:00:00,0.6568,1.1,1.25,1.3501,0.7224,0.8209,0.8867,False
2026-07-21T07:00:00,0.4526,1.1,1.25,1.3578,0.4978,0.5657,0.6145,False
2026-07-21T08:00:00,0.6221,1.1,1.25,1.2882,0.6843,0.7776,0.8014,False
2026-07-21T09:00:00,0.9344,1.1,1.25,1.1358,1.0279,1.168,1.0614,False
2026-07-21T10:00:00,0.7102,1.1,1.25,0.9942,0.7812,0.8877,0.7061,False
2026-07-21T11:00:00,0.8451,1.1,1.25,0.9009,0.9296,1.0564,0.7614,False
2026-07-21T12:00:00,1.564,1.1,1.25,0.8098,1.7204,1.955,1.2666,False
2026-07-21T13:00:00,0.6056,1.1,0.62,0.7569,0.6662,0.3755,0.4584,False
2026-07-21T14:00:00,2.5957,1.1,0.62,0.7622,2.8552,1.6093,1.9784,False
2026-07-21T15:00:00,1.3866,1.1,1.25,0.8381,1.5253,1.7333,1.1622,False
