hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.9578,1.1,0.62,1.2641,1.0536,0.5938,1.2108,False
2026-07-20T01:00:00,0.4866,1.1,0.62,1.2248,0.5353,0.3017,0.596,False
2026-07-20T02:00:00,0.8225,1.1,0.62,1.168,0.9047,0.5099,0.9607,False
2026-07-20T03:00:00,0.7206,1.1,0.62,1.1419,0.7927,0.4468,0.8229,False
2026-07-20T04:00:00,0.4683,1.1,0.62,1.1401,0.5152,0.2904,0.5339,False
2026-07-20T05:00:00,0.8443,1.1,0.62,1.1836,0.9287,0.5234,0.9993,False
2026-07-20T06:00:00,0.357,1.1,1.25,1.2988,0.3927,0.4463,0.4637,False
2026-07-20T07:00:00,0.5557,1.1,1.25,1.3014,0.6113,0.6947,0.7232,False
2026-07-20T08:00:00,0.6658,1.1,1.25,1.214,0.7324,0.8322,0.8082,False
2026-07-20T09:00:00,0.611,1.1,1.25,1.0455,0.672,0.7637,0.6387,False
2026-07-20T10:00:00,0.7584,1.1,1.25,0.891,0.8342,0.948,0.6757,False
2026-07-20T11:00:00,0.589,1.1,1.25,0.7914,0.6479,0.7363,0.4661,False
2026-07-20T12:00:00,2.1893,1.1,1.25,0.7834,2.4083,2.7367,1.7152,False
2026-07-20T13:00:00,1.9318,1.1,0.62,0.7238,2.125,1.1977,1.3983,False
2026-07-20T14:00:00,3.2404,1.1,0.62,0.7416,3.5644,2.009,2.403,False
2026-07-20T15:00:00,1.4808,1.1,1.25,0.9041,1.6288,1.8509,1.3388,False
2026-07-20T16:00:00,1.3911,1.1,1.25,1.0216,1.5302,1.7389,1.4212,False
2026-07-20T17:00:00,1.1081,1.1,1.25,1.1642,1.2189,1.3851,1.29,False
2026-07-20T18:00:00,1.1522,1.1,1.25,1.3118,1.2674,1.4402,1.5115,False
2026-07-20T19:00:00,1.0559,1.1,1.25,1.446,1.1615,1.3199,1.5269,False
2026-07-20T20:00:00,2.3843,1.1,1.25,1.5031,2.6227,2.9803,3.5838,False
2026-07-20T21:00:00,2.0871,1.1,1.25,1.4755,2.2958,2.6089,3.0796,False
2026-07-20T22:00:00,1.0561,1.1,0.62,1.4187,1.1617,0.6548,1.4984,False
2026-07-20T23:00:00,1.092,1.1,0.62,1.3391,1.2012,0.677,1.4623,False
2026-07-21T00:00:00,0.4464,1.1,0.62,1.2936,0.4911,0.2768,0.5775,False
2026-07-21T01:00:00,0.8689,1.1,0.62,1.2613,0.9558,0.5387,1.096,False
2026-07-21T02:00:00,0.5719,1.1,0.62,1.2107,0.6291,0.3546,0.6924,False
2026-07-21T03:00:00,0.5084,1.1,0.62,1.2058,0.5593,0.3152,0.6131,False
2026-07-21T04:00:00,1.0131,1.1,0.62,1.2153,1.1144,0.6281,1.2312,False
2026-07-21T05:00:00,0.4805,1.1,0.62,1.2372,0.5286,0.2979,0.5945,False
2026-07-21T06:00:00,0.3681,1.1,1.25,1.3501,0.4049,0.4601,0.4969,False
2026-07-21T07:00:00,0.3955,1.1,1.25,1.3578,0.4351,0.4944,0.5371,False
2026-07-21T08:00:00,0.5491,1.1,1.25,1.2882,0.6041,0.6864,0.7074,False
2026-07-21T09:00:00,0.7455,1.1,1.25,1.1358,0.82,0.9319,0.8468,False
2026-07-21T10:00:00,0.5571,1.1,1.25,0.9942,0.6128,0.6964,0.5539,False
2026-07-21T11:00:00,0.7384,1.1,1.25,0.9009,0.8122,0.923,0.6652,False
2026-07-21T12:00:00,2.1938,1.1,1.25,0.8098,2.4132,2.7422,1.7766,False
2026-07-21T13:00:00,1.5241,1.1,0.62,0.7569,1.6765,0.945,1.1537,False
2026-07-21T14:00:00,3.7215,1.1,0.62,0.7622,4.0936,2.3073,2.8365,False
2026-07-21T15:00:00,1.3888,1.1,1.25,0.8381,1.5276,1.736,1.164,False
2026-07-21T16:00:00,1.401,1.1,1.25,0.9613,1.541,1.7512,1.3467,False
2026-07-21T17:00:00,1.2759,1.1,1.25,1.121,1.4035,1.5949,1.4303,False
2026-07-21T18:00:00,0.8288,1.1,1.25,1.271,0.9117,1.036,1.0534,False
2026-07-21T19:00:00,1.4761,1.1,1.25,1.3767,1.6237,1.8451,2.0322,False
2026-07-21T20:00:00,1.9971,1.1,1.25,1.441,2.1968,2.4964,2.8779,False
2026-07-21T21:00:00,2.1845,1.1,1.25,1.4429,2.403,2.7306,3.152,False
2026-07-21T22:00:00,1.7757,1.1,0.62,1.4043,1.9532,1.1009,2.4936,False
2026-07-21T23:00:00,0.4292,1.1,0.62,1.3433,0.4721,0.2661,0.5765,False
2026-07-22T00:00:00,0.8537,1.1,0.62,1.3292,0.939,0.5293,1.1347,False
2026-07-22T01:00:00,0.5443,1.1,0.62,1.2896,0.5987,0.3375,0.7019,False
2026-07-22T02:00:00,0.7929,1.1,0.62,1.2332,0.8722,0.4916,0.9779,False
2026-07-22T03:00:00,0.6696,1.1,0.62,1.2287,0.7366,0.4152,0.8228,False
2026-07-22T04:00:00,0.5442,1.1,0.62,1.2236,0.5987,0.3374,0.6659,False
2026-07-22T05:00:00,0.854,1.1,0.62,1.2222,0.9394,0.5295,1.0437,False
2026-07-22T06:00:00,0.3507,1.1,1.25,1.3004,0.3858,0.4384,0.4561,False
