hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.5039,1.1,0.62,1.2641,0.5543,0.3124,0.637,False
2026-07-20T01:00:00,0.2277,1.1,0.62,1.2248,0.2504,0.1411,0.2788,False
2026-07-20T02:00:00,0.4117,1.1,0.62,1.168,0.4529,0.2552,0.4809,False
2026-07-20T03:00:00,0.2722,1.1,0.62,1.1419,0.2994,0.1688,0.3109,False
2026-07-20T04:00:00,0.1914,1.1,0.62,1.1401,0.2106,0.1187,0.2182,False
2026-07-20T05:00:00,0.4226,1.1,0.62,1.1836,0.4648,0.262,0.5002,False
2026-07-20T06:00:00,0.2389,1.1,1.25,1.2988,0.2628,0.2986,0.3103,False
2026-07-20T07:00:00,0.5518,1.1,1.25,1.3014,0.607,0.6898,0.7181,False
2026-07-20T08:00:00,0.6014,1.1,1.25,1.214,0.6615,0.7517,0.73,False
2026-07-20T09:00:00,0.4808,1.1,1.25,1.0455,0.5289,0.601,0.5027,False
2026-07-20T10:00:00,0.9349,1.1,1.25,0.891,1.0284,1.1686,0.833,False
2026-07-20T11:00:00,0.5509,1.1,1.25,0.7914,0.606,0.6886,0.4359,False
2026-07-20T12:00:00,1.1718,1.1,1.25,0.7834,1.2889,1.4647,0.918,False
2026-07-20T13:00:00,0.6143,1.1,0.62,0.7238,0.6758,0.3809,0.4447,False
2026-07-20T14:00:00,1.9714,1.1,0.62,0.7416,2.1686,1.2223,1.462,False
2026-07-20T15:00:00,1.7233,1.1,1.25,0.9041,1.8956,2.1541,1.558,False
2026-07-20T16:00:00,0.5012,1.1,1.25,1.0216,0.5513,0.6265,0.512,False
2026-07-20T17:00:00,0.6017,1.1,1.25,1.1642,0.6619,0.7521,0.7005,False
2026-07-20T18:00:00,0.3787,1.1,1.25,1.3118,0.4165,0.4733,0.4968,False
2026-07-20T19:00:00,0.6271,1.1,1.25,1.446,0.6898,0.7839,0.9068,False
2026-07-20T20:00:00,1.3242,1.1,1.25,1.5031,1.4566,1.6552,1.9904,False
