hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.0002,1.1,0.62,1.2641,1.1002,0.6201,1.2643,False
2026-07-20T01:00:00,0.4365,1.1,0.62,1.2248,0.4802,0.2706,0.5346,False
2026-07-20T02:00:00,0.7882,1.1,0.62,1.168,0.8671,0.4887,0.9207,False
2026-07-20T03:00:00,0.7495,1.1,0.62,1.1419,0.8245,0.4647,0.8559,False
2026-07-20T04:00:00,0.3902,1.1,0.62,1.1401,0.4292,0.2419,0.4449,False
2026-07-20T05:00:00,0.9443,1.1,0.62,1.1836,1.0388,0.5855,1.1178,False
2026-07-20T06:00:00,1.6137,1.1,1.25,1.2988,1.7751,2.0172,2.096,False
2026-07-20T07:00:00,2.5833,1.1,1.25,1.3014,2.8416,3.2291,3.3619,False
2026-07-20T08:00:00,0.9592,1.1,1.25,1.214,1.0552,1.199,1.1645,False
2026-07-20T09:00:00,0.9753,1.1,1.25,1.0455,1.0729,1.2192,1.0197,False
2026-07-20T10:00:00,1.5201,1.1,1.25,0.891,1.6721,1.9001,1.3544,False
2026-07-20T11:00:00,0.6639,1.1,1.25,0.7914,0.7303,0.8298,0.5254,False
2026-07-20T12:00:00,1.258,1.1,1.25,0.7834,1.3838,1.5725,0.9856,False
2026-07-20T13:00:00,1.9686,1.1,0.62,0.7238,2.1654,1.2205,1.4249,False
2026-07-20T14:00:00,2.7086,1.1,0.62,0.7416,2.9795,1.6794,2.0087,False
2026-07-20T15:00:00,1.2474,1.1,1.25,0.9041,1.3721,1.5592,1.1278,False
2026-07-20T16:00:00,1.032,1.1,1.25,1.0216,1.1352,1.29,1.0543,False
2026-07-20T17:00:00,2.8232,1.1,1.25,1.1642,3.1055,3.529,3.2866,False
2026-07-20T18:00:00,2.8197,1.1,1.25,1.3118,3.1017,3.5246,3.699,False
2026-07-20T19:00:00,2.4867,1.1,1.25,1.446,2.7354,3.1084,3.5959,False
2026-07-20T20:00:00,3.9953,1.1,1.25,1.5031,4.3949,4.9942,6.0055,False
2026-07-20T21:00:00,4.6428,1.1,1.25,1.4755,5.1071,5.8035,6.8505,False
2026-07-20T22:00:00,3.686,1.1,0.62,1.4187,4.0546,2.2853,5.2295,False
2026-07-20T23:00:00,1.567,1.1,0.62,1.3391,1.7237,0.9715,2.0984,False
2026-07-21T00:00:00,0.4151,1.1,0.62,1.2936,0.4567,0.2574,0.537,False
2026-07-21T01:00:00,0.9643,1.1,0.62,1.2613,1.0607,0.5979,1.2163,False
2026-07-21T02:00:00,0.3907,1.1,0.62,1.2107,0.4298,0.2423,0.473,False
2026-07-21T03:00:00,0.6058,1.1,0.62,1.2058,0.6664,0.3756,0.7305,False
2026-07-21T04:00:00,0.9206,1.1,0.62,1.2153,1.0127,0.5708,1.1188,False
2026-07-21T05:00:00,0.3955,1.1,0.62,1.2372,0.435,0.2452,0.4893,False
2026-07-21T06:00:00,2.0072,1.1,1.25,1.3501,2.2079,2.509,2.71,False
2026-07-21T07:00:00,2.4033,1.1,1.25,1.3578,2.6436,3.0041,3.2633,False
2026-07-21T08:00:00,0.8999,1.1,1.25,1.2882,0.9899,1.1249,1.1593,False
2026-07-21T09:00:00,1.0233,1.1,1.25,1.1358,1.1257,1.2792,1.1624,False
2026-07-21T10:00:00,1.0052,1.1,1.25,0.9942,1.1057,1.2565,0.9994,False
2026-07-21T11:00:00,1.0343,1.1,1.25,0.9009,1.1378,1.2929,0.9319,False
2026-07-21T12:00:00,1.2763,1.1,1.25,0.8098,1.404,1.5954,1.0336,False
2026-07-21T13:00:00,1.652,1.1,0.62,0.7569,1.8172,1.0243,1.2505,False
2026-07-21T14:00:00,3.1731,1.1,0.62,0.7622,3.4904,1.9673,2.4185,False
2026-07-21T15:00:00,0.9934,1.1,1.25,0.8381,1.0928,1.2418,0.8326,False
2026-07-21T16:00:00,1.0724,1.1,1.25,0.9613,1.1796,1.3405,1.0308,False
2026-07-21T17:00:00,2.896,1.1,1.25,1.121,3.1856,3.62,3.2465,False
2026-07-21T18:00:00,2.4982,1.1,1.25,1.271,2.748,3.1228,3.1752,False
2026-07-21T19:00:00,3.2086,1.1,1.25,1.3767,3.5295,4.0108,4.4175,False
2026-07-21T20:00:00,3.4306,1.1,1.25,1.441,3.7737,4.2883,4.9436,False
2026-07-21T21:00:00,4.9529,1.1,1.25,1.4429,5.4482,6.1911,7.1463,False
2026-07-21T22:00:00,4.4201,1.1,0.62,1.4043,4.8621,2.7405,6.2071,False
2026-07-21T23:00:00,1.1617,1.1,0.62,1.3433,1.2779,0.7203,1.5606,False
2026-07-22T00:00:00,0.935,1.1,0.62,1.3292,1.0285,0.5797,1.2428,False
2026-07-22T01:00:00,0.4265,1.1,0.62,1.2896,0.4692,0.2644,0.55,False
2026-07-22T02:00:00,0.8429,1.1,0.62,1.2332,0.9272,0.5226,1.0395,False
2026-07-22T03:00:00,0.5559,1.1,0.62,1.2287,0.6115,0.3446,0.683,False
2026-07-22T04:00:00,0.5467,1.1,0.62,1.2236,0.6013,0.3389,0.6689,False
2026-07-22T05:00:00,0.9103,1.1,0.62,1.2222,1.0013,0.5644,1.1125,False
2026-07-22T06:00:00,1.6123,1.1,1.25,1.3004,1.7736,2.0154,2.0967,False
2026-07-22T07:00:00,2.4242,1.1,1.25,1.2862,2.6666,3.0302,3.118,False
2026-07-22T08:00:00,1.1927,1.1,1.25,1.2121,1.312,1.4909,1.4457,False
2026-07-22T09:00:00,0.8653,1.1,1.25,1.0231,0.9518,1.0816,0.8852,False
2026-07-22T10:00:00,1.2486,1.1,1.25,0.8315,1.3734,1.5607,1.0382,False
2026-07-22T11:00:00,0.8078,1.1,1.25,0.6759,0.8886,1.0097,0.546,False
2026-07-22T12:00:00,1.2932,1.1,1.25,0.639,1.4225,1.6165,0.8263,False
2026-07-22T13:00:00,1.9505,1.1,0.62,0.6154,2.1456,1.2093,1.2003,False
2026-07-22T14:00:00,2.5589,1.1,0.62,0.653,2.8147,1.5865,1.6709,False
2026-07-22T15:00:00,1.3329,1.1,1.25,0.8804,1.4662,1.6661,1.1735,False
2026-07-22T16:00:00,0.9588,1.1,1.25,1.028,1.0546,1.1984,0.9856,False
2026-07-22T17:00:00,2.7293,1.1,1.25,1.1228,3.0022,3.4116,3.0643,False
2026-07-22T18:00:00,2.8831,1.1,1.25,1.2705,3.1715,3.6039,3.663,False
2026-07-22T19:00:00,2.6328,1.1,1.25,1.394,2.8961,3.291,3.6701,False
2026-07-22T20:00:00,3.9896,1.1,1.25,1.4177,4.3885,4.9869,5.6559,False
2026-07-22T21:00:00,4.5554,1.1,1.25,1.3918,5.0109,5.6942,6.3401,False
2026-07-22T22:00:00,4.0287,1.1,0.62,1.3264,4.4316,2.4978,5.3436,False
