hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.0924,1.1,0.62,1.2641,1.2016,0.6773,1.3809,False
2026-07-20T01:00:00,0.4709,1.1,0.62,1.2248,0.5179,0.2919,0.5767,False
2026-07-20T02:00:00,0.7868,1.1,0.62,1.168,0.8655,0.4878,0.9191,False
2026-07-20T03:00:00,0.9497,1.1,0.62,1.1419,1.0447,0.5888,1.0845,False
2026-07-20T04:00:00,0.5463,1.1,0.62,1.1401,0.6009,0.3387,0.6228,False
2026-07-20T05:00:00,0.9638,1.1,0.62,1.1836,1.0602,0.5976,1.1408,False
2026-07-20T06:00:00,1.0381,1.1,1.25,1.2988,1.1419,1.2976,1.3483,False
2026-07-20T07:00:00,1.6446,1.1,1.25,1.3014,1.809,2.0557,2.1403,False
2026-07-20T08:00:00,0.7352,1.1,1.25,1.214,0.8088,0.919,0.8925,False
2026-07-20T09:00:00,0.4249,1.1,1.25,1.0455,0.4674,0.5312,0.4443,False
2026-07-20T10:00:00,1.2958,1.1,1.25,0.891,1.4254,1.6198,1.1546,False
2026-07-20T11:00:00,0.4454,1.1,1.25,0.7914,0.49,0.5568,0.3525,False
2026-07-20T12:00:00,0.7347,1.1,1.25,0.7834,0.8082,0.9184,0.5756,False
2026-07-20T13:00:00,0.7295,1.1,0.62,0.7238,0.8024,0.4523,0.528,False
2026-07-20T14:00:00,0.7095,1.1,0.62,0.7416,0.7804,0.4399,0.5261,False
2026-07-20T15:00:00,1.0198,1.1,1.25,0.9041,1.1218,1.2748,0.922,False
2026-07-20T16:00:00,0.9696,1.1,1.25,1.0216,1.0666,1.212,0.9906,False
2026-07-20T17:00:00,1.6946,1.1,1.25,1.1642,1.8641,2.1183,1.9728,False
2026-07-20T18:00:00,4.7752,1.1,1.25,1.3118,5.2527,5.969,6.2642,False
2026-07-20T19:00:00,3.6487,1.1,1.25,1.446,4.0136,4.5609,5.2761,False
2026-07-20T20:00:00,3.1625,1.1,1.25,1.5031,3.4788,3.9531,4.7536,False
2026-07-20T21:00:00,2.9139,1.1,1.25,1.4755,3.2052,3.6423,4.2995,False
2026-07-20T22:00:00,0.8874,1.1,0.62,1.4187,0.9761,0.5502,1.259,False
2026-07-20T23:00:00,1.0839,1.1,0.62,1.3391,1.1923,0.672,1.4515,False
2026-07-21T00:00:00,0.5322,1.1,0.62,1.2936,0.5854,0.3299,0.6884,False
2026-07-21T01:00:00,1.1789,1.1,0.62,1.2613,1.2968,0.7309,1.487,False
2026-07-21T02:00:00,0.571,1.1,0.62,1.2107,0.6281,0.354,0.6913,False
2026-07-21T03:00:00,0.5591,1.1,0.62,1.2058,0.615,0.3466,0.6741,False
2026-07-21T04:00:00,1.1259,1.1,0.62,1.2153,1.2385,0.6981,1.3683,False
2026-07-21T05:00:00,0.5453,1.1,0.62,1.2372,0.5998,0.3381,0.6746,False
2026-07-21T06:00:00,1.5837,1.1,1.25,1.3501,1.742,1.9796,2.1382,False
2026-07-21T07:00:00,1.0847,1.1,1.25,1.3578,1.1932,1.3559,1.4729,False
