hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.6884,1.1,0.62,1.2641,1.8572,1.0468,2.1343,False
2026-07-20T01:00:00,0.816,1.1,0.62,1.2248,0.8976,0.5059,0.9995,False
2026-07-20T02:00:00,1.0081,1.1,0.62,1.168,1.109,0.625,1.1776,False
2026-07-20T03:00:00,1.4899,1.1,0.62,1.1419,1.6389,0.9237,1.7013,False
2026-07-20T04:00:00,0.8935,1.1,0.62,1.1401,0.9828,0.5539,1.0186,False
2026-07-20T05:00:00,1.3597,1.1,0.62,1.1836,1.4957,0.843,1.6094,False
2026-07-20T06:00:00,1.0841,1.1,1.25,1.2988,1.1925,1.3551,1.408,False
2026-07-20T07:00:00,1.5734,1.1,1.25,1.3014,1.7307,1.9667,2.0476,False
2026-07-20T08:00:00,0.7301,1.1,1.25,1.214,0.8031,0.9126,0.8863,False
2026-07-20T09:00:00,0.5046,1.1,1.25,1.0455,0.555,0.6307,0.5275,False
2026-07-20T10:00:00,1.1755,1.1,1.25,0.891,1.2931,1.4694,1.0474,False
2026-07-20T11:00:00,0.5319,1.1,1.25,0.7914,0.5851,0.6649,0.421,False
2026-07-20T12:00:00,1.2294,1.1,1.25,0.7834,1.3523,1.5367,0.9631,False
2026-07-20T13:00:00,1.5617,1.1,0.62,0.7238,1.7178,0.9682,1.1304,False
2026-07-20T14:00:00,1.4076,1.1,0.62,0.7416,1.5484,0.8727,1.0439,False
2026-07-20T15:00:00,1.8272,1.1,1.25,0.9041,2.0099,2.284,1.652,False
2026-07-20T16:00:00,1.43,1.1,1.25,1.0216,1.573,1.7875,1.4609,False
2026-07-20T17:00:00,2.772,1.1,1.25,1.1642,3.0492,3.465,3.227,False
2026-07-20T18:00:00,4.2626,1.1,1.25,1.3118,4.6889,5.3283,5.5919,False
2026-07-20T19:00:00,3.5151,1.1,1.25,1.446,3.8666,4.3939,5.0829,False
2026-07-20T20:00:00,2.798,1.1,1.25,1.5031,3.0778,3.4975,4.2057,False
2026-07-20T21:00:00,2.6498,1.1,1.25,1.4755,2.9148,3.3123,3.9099,False
2026-07-20T22:00:00,1.4096,1.1,0.62,1.4187,1.5506,0.874,1.9999,False
2026-07-20T23:00:00,1.5083,1.1,0.62,1.3391,1.6591,0.9352,2.0198,False
2026-07-21T00:00:00,0.8176,1.1,0.62,1.2936,0.8993,0.5069,1.0576,False
2026-07-21T01:00:00,1.4915,1.1,0.62,1.2613,1.6407,0.9247,1.8813,False
2026-07-21T02:00:00,0.8853,1.1,0.62,1.2107,0.9739,0.5489,1.0718,False
2026-07-21T03:00:00,0.7756,1.1,0.62,1.2058,0.8531,0.4809,0.9352,False
2026-07-21T04:00:00,1.7027,1.1,0.62,1.2153,1.873,1.0557,2.0693,False
2026-07-21T05:00:00,0.7532,1.1,0.62,1.2372,0.8285,0.467,0.9319,False
2026-07-21T06:00:00,1.4549,1.1,1.25,1.3501,1.6004,1.8186,1.9643,False
