hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.104,1.1,0.62,1.2641,1.2144,0.6845,1.3956,False
2026-07-20T01:00:00,0.5163,1.1,0.62,1.2248,0.5679,0.3201,0.6323,False
2026-07-20T02:00:00,0.7801,1.1,0.62,1.168,0.8581,0.4836,0.9111,False
2026-07-20T03:00:00,0.9796,1.1,0.62,1.1419,1.0776,0.6073,1.1186,False
2026-07-20T04:00:00,0.5171,1.1,0.62,1.1401,0.5688,0.3206,0.5895,False
2026-07-20T05:00:00,1.0378,1.1,0.62,1.1836,1.1415,0.6434,1.2283,False
2026-07-20T06:00:00,0.7422,1.1,1.25,1.2988,0.8164,0.9277,0.9639,False
2026-07-20T07:00:00,1.4745,1.1,1.25,1.3014,1.6219,1.8431,1.9189,False
2026-07-20T08:00:00,0.7507,1.1,1.25,1.214,0.8258,0.9384,0.9113,False
2026-07-20T09:00:00,0.4896,1.1,1.25,1.0455,0.5386,0.612,0.5119,False
2026-07-20T10:00:00,1.2055,1.1,1.25,0.891,1.3261,1.5069,1.0741,False
2026-07-20T11:00:00,0.5399,1.1,1.25,0.7914,0.5939,0.6749,0.4273,False
2026-07-20T12:00:00,0.7031,1.1,1.25,0.7834,0.7734,0.8789,0.5508,False
2026-07-20T13:00:00,0.6298,1.1,0.62,0.7238,0.6928,0.3905,0.4559,False
2026-07-20T14:00:00,0.6228,1.1,0.62,0.7416,0.685,0.3861,0.4618,False
2026-07-20T15:00:00,1.1721,1.1,1.25,0.9041,1.2893,1.4652,1.0597,False
2026-07-20T16:00:00,0.7848,1.1,1.25,1.0216,0.8633,0.981,0.8018,False
2026-07-20T17:00:00,2.3078,1.1,1.25,1.1642,2.5386,2.8848,2.6867,False
2026-07-20T18:00:00,2.7429,1.1,1.25,1.3118,3.0172,3.4286,3.5982,False
2026-07-20T19:00:00,3.0568,1.1,1.25,1.446,3.3624,3.8209,4.4201,False
2026-07-20T20:00:00,2.0365,1.1,1.25,1.5031,2.2401,2.5456,3.0611,False
2026-07-20T21:00:00,2.2142,1.1,1.25,1.4755,2.4356,2.7677,3.2671,False
2026-07-20T22:00:00,0.7443,1.1,0.62,1.4187,0.8187,0.4614,1.0559,False
2026-07-20T23:00:00,0.8175,1.1,0.62,1.3391,0.8992,0.5068,1.0947,False
2026-07-21T00:00:00,0.5144,1.1,0.62,1.2936,0.5658,0.3189,0.6654,False
2026-07-21T01:00:00,1.226,1.1,0.62,1.2613,1.3486,0.7601,1.5463,False
2026-07-21T02:00:00,0.5286,1.1,0.62,1.2107,0.5815,0.3277,0.6399,False
2026-07-21T03:00:00,0.4906,1.1,0.62,1.2058,0.5396,0.3042,0.5915,False
2026-07-21T04:00:00,1.2699,1.1,0.62,1.2153,1.3969,0.7873,1.5433,False
2026-07-21T05:00:00,0.5384,1.1,0.62,1.2372,0.5923,0.3338,0.6661,False
2026-07-21T06:00:00,1.2808,1.1,1.25,1.3501,1.4089,1.601,1.7293,False
2026-07-21T07:00:00,0.9402,1.1,1.25,1.3578,1.0342,1.1753,1.2767,False
2026-07-21T08:00:00,0.7709,1.1,1.25,1.2882,0.848,0.9637,0.9931,False
2026-07-21T09:00:00,0.9364,1.1,1.25,1.1358,1.03,1.1705,1.0636,False
2026-07-21T10:00:00,0.4597,1.1,1.25,0.9942,0.5057,0.5746,0.457,False
2026-07-21T11:00:00,0.9884,1.1,1.25,0.9009,1.0872,1.2355,0.8905,False
2026-07-21T12:00:00,0.7637,1.1,1.25,0.8098,0.84,0.9546,0.6184,False
2026-07-21T13:00:00,0.4388,1.1,0.62,0.7569,0.4827,0.2721,0.3322,False
2026-07-21T14:00:00,1.0638,1.1,0.62,0.7622,1.1701,0.6595,0.8108,False
2026-07-21T15:00:00,0.9181,1.1,1.25,0.8381,1.0099,1.1476,0.7695,False
2026-07-21T16:00:00,1.0108,1.1,1.25,0.9613,1.1119,1.2635,0.9717,False
2026-07-21T17:00:00,2.3361,1.1,1.25,1.121,2.5697,2.9201,2.6188,False
2026-07-21T18:00:00,2.2802,1.1,1.25,1.271,2.5082,2.8503,2.8982,False
2026-07-21T19:00:00,3.6669,1.1,1.25,1.3767,4.0335,4.5836,5.0483,False
2026-07-21T20:00:00,1.5971,1.1,1.25,1.441,1.7568,1.9963,2.3014,False
2026-07-21T21:00:00,2.0971,1.1,1.25,1.4429,2.3069,2.6214,3.0259,False
2026-07-21T22:00:00,1.2676,1.1,0.62,1.4043,1.3944,0.7859,1.7801,False
2026-07-21T23:00:00,0.477,1.1,0.62,1.3433,0.5247,0.2957,0.6407,False
2026-07-22T00:00:00,0.9912,1.1,0.62,1.3292,1.0903,0.6145,1.3175,False
2026-07-22T01:00:00,0.4834,1.1,0.62,1.2896,0.5318,0.2997,0.6235,False
2026-07-22T02:00:00,0.9271,1.1,0.62,1.2332,1.0198,0.5748,1.1433,False
2026-07-22T03:00:00,0.8121,1.1,0.62,1.2287,0.8933,0.5035,0.9978,False
2026-07-22T04:00:00,0.4924,1.1,0.62,1.2236,0.5416,0.3053,0.6025,False
2026-07-22T05:00:00,1.0829,1.1,0.62,1.2222,1.1912,0.6714,1.3234,False
2026-07-22T06:00:00,0.8662,1.1,1.25,1.3004,0.9528,1.0827,1.1264,False
2026-07-22T07:00:00,1.1875,1.1,1.25,1.2862,1.3062,1.4843,1.5273,False
2026-07-22T08:00:00,0.7636,1.1,1.25,1.2121,0.84,0.9545,0.9256,False
2026-07-22T09:00:00,0.6699,1.1,1.25,1.0231,0.7369,0.8374,0.6854,False
2026-07-22T10:00:00,0.8558,1.1,1.25,0.8315,0.9413,1.0697,0.7116,False
2026-07-22T11:00:00,0.4979,1.1,1.25,0.6759,0.5477,0.6224,0.3366,False
2026-07-22T12:00:00,0.8254,1.1,1.25,0.639,0.908,1.0318,0.5274,False
2026-07-22T13:00:00,0.9986,1.1,0.62,0.6154,1.0985,0.6192,0.6145,False
2026-07-22T14:00:00,0.4754,1.1,0.62,0.653,0.5229,0.2947,0.3104,False
2026-07-22T15:00:00,1.1095,1.1,1.25,0.8804,1.2204,1.3869,0.9768,False
2026-07-22T16:00:00,1.0254,1.1,1.25,1.028,1.128,1.2818,1.0542,False
2026-07-22T17:00:00,1.9813,1.1,1.25,1.1228,2.1794,2.4766,2.2245,False
2026-07-22T18:00:00,2.8473,1.1,1.25,1.2705,3.1321,3.5592,3.6175,False
2026-07-22T19:00:00,2.9498,1.1,1.25,1.394,3.2447,3.6872,4.1119,False
2026-07-22T20:00:00,2.1643,1.1,1.25,1.4177,2.3807,2.7054,3.0683,False
2026-07-22T21:00:00,1.9535,1.1,1.25,1.3918,2.1488,2.4418,2.7188,False
2026-07-22T22:00:00,0.7256,1.1,0.62,1.3264,0.7981,0.4499,0.9624,False
2026-07-22T23:00:00,1.1901,1.1,0.62,1.2654,1.3091,0.7379,1.506,False
2026-07-23T00:00:00,0.4364,1.1,0.62,1.2554,0.4801,0.2706,0.5479,False
2026-07-23T01:00:00,0.9305,1.1,0.62,1.2294,1.0235,0.5769,1.1439,False
2026-07-23T02:00:00,0.5295,1.1,0.62,1.2075,0.5824,0.3283,0.6394,False
2026-07-23T03:00:00,0.799,1.1,0.62,1.2037,0.8789,0.4954,0.9618,False
2026-07-23T04:00:00,1.0055,1.1,0.62,1.2124,1.106,0.6234,1.2191,False
2026-07-23T05:00:00,0.5577,1.1,0.62,1.244,0.6135,0.3458,0.6938,False
2026-07-23T06:00:00,1.1605,1.1,1.25,1.3275,1.2766,1.4506,1.5406,False
2026-07-23T07:00:00,1.249,1.1,1.25,1.3708,1.3739,1.5613,1.7122,False
2026-07-23T08:00:00,0.5849,1.1,1.25,1.3152,0.6434,0.7311,0.7693,False
2026-07-23T09:00:00,0.899,1.1,1.25,1.1993,0.9889,1.1237,1.0781,False
2026-07-23T10:00:00,0.7796,1.1,1.25,1.1025,0.8576,0.9746,0.8596,False
2026-07-23T11:00:00,0.6843,1.1,1.25,1.0607,0.7528,0.8554,0.7259,False
2026-07-23T12:00:00,0.6869,1.1,1.25,1.0259,0.7556,0.8586,0.7047,False
2026-07-23T13:00:00,0.5321,1.1,0.62,0.9736,0.5853,0.3299,0.518,False
2026-07-23T14:00:00,1.1431,1.1,0.62,0.9455,1.2574,0.7087,1.0808,False
2026-07-23T15:00:00,0.6663,1.1,1.25,0.9926,0.7329,0.8328,0.6613,False
2026-07-23T16:00:00,0.923,1.1,1.25,1.0591,1.0153,1.1538,0.9776,False
2026-07-23T17:00:00,2.4455,1.1,1.25,1.1216,2.69,3.0568,2.7429,False
2026-07-23T18:00:00,2.3988,1.1,1.25,1.2625,2.6387,2.9985,3.0284,False
2026-07-23T19:00:00,3.4683,1.1,1.25,1.3233,3.8151,4.3354,4.5898,False
2026-07-23T20:00:00,1.5555,1.1,1.25,1.4061,1.7111,1.9444,2.1872,False
2026-07-23T21:00:00,2.3803,1.1,1.25,1.399,2.6183,2.9753,3.33,False
2026-07-23T22:00:00,1.0618,1.1,0.62,1.3603,1.1679,0.6583,1.4443,False
2026-07-23T23:00:00,0.5145,1.1,0.62,1.3642,0.566,0.319,0.7019,False
2026-07-24T00:00:00,1.0834,1.1,0.62,1.3854,1.1917,0.6717,1.5009,False
2026-07-24T01:00:00,0.5042,1.1,0.62,1.353,0.5546,0.3126,0.6822,False
2026-07-24T02:00:00,0.6981,1.1,0.62,1.3285,0.7679,0.4328,0.9274,False
2026-07-24T03:00:00,0.8044,1.1,0.62,1.3195,0.8849,0.4987,1.0615,False
2026-07-24T04:00:00,0.7305,1.1,0.62,1.3263,0.8036,0.4529,0.9689,False
2026-07-24T05:00:00,1.0431,1.1,0.62,1.367,1.1474,0.6467,1.426,False
2026-07-24T06:00:00,0.8461,1.1,1.25,1.4148,0.9307,1.0576,1.1971,False
2026-07-24T07:00:00,1.2968,1.1,1.25,1.4017,1.4265,1.621,1.8178,False
2026-07-24T08:00:00,1.0064,1.1,1.25,1.2937,1.107,1.258,1.3019,False
2026-07-24T09:00:00,0.5326,1.1,1.25,1.1778,0.5859,0.6657,0.6273,False
2026-07-24T10:00:00,0.8767,1.1,1.25,1.0769,0.9643,1.0958,0.9441,False
2026-07-24T11:00:00,0.7024,1.1,1.25,0.9851,0.7726,0.878,0.6919,False
2026-07-24T12:00:00,0.5258,1.1,1.25,0.862,0.5784,0.6573,0.4533,False
2026-07-24T13:00:00,1.0498,1.1,0.62,0.7894,1.1548,0.6509,0.8287,False
2026-07-24T14:00:00,0.5181,1.1,0.62,0.7656,0.5699,0.3212,0.3966,False
2026-07-24T15:00:00,1.4085,1.1,1.25,0.9075,1.5494,1.7606,1.2782,False
2026-07-24T16:00:00,0.8617,1.1,1.25,1.0474,0.9479,1.0772,0.9026,False
2026-07-24T17:00:00,2.0242,1.1,1.25,1.1609,2.2267,2.5303,2.35,False
2026-07-24T18:00:00,2.976,1.1,1.25,1.3428,3.2736,3.72,3.996,False
2026-07-24T19:00:00,3.1896,1.1,1.25,1.5197,3.5086,3.9871,4.8473,False
2026-07-24T20:00:00,2.1881,1.1,1.25,1.6631,2.4069,2.7351,3.639,False
2026-07-24T21:00:00,1.9621,1.1,1.25,1.6683,2.1583,2.4526,3.2733,False
2026-07-24T22:00:00,0.9651,1.1,0.62,1.5676,1.0616,0.5984,1.5129,False
2026-07-24T23:00:00,1.0202,1.1,0.62,1.4875,1.1222,0.6325,1.5175,False
2026-07-25T00:00:00,0.4865,1.1,0.62,1.4532,0.5351,0.3016,0.707,False
2026-07-25T01:00:00,1.0349,1.1,0.62,1.3988,1.1384,0.6416,1.4476,False
2026-07-25T02:00:00,0.7667,1.1,0.62,1.3899,0.8434,0.4753,1.0656,False
2026-07-25T03:00:00,0.499,1.1,0.62,1.3591,0.5489,0.3094,0.6782,False
2026-07-25T04:00:00,0.935,1.1,0.62,1.3402,1.0285,0.5797,1.2532,False
2026-07-25T05:00:00,0.6538,1.1,0.62,1.3231,0.7192,0.4054,0.8651,False
2026-07-25T06:00:00,1.0507,1.1,1.25,1.2876,1.1558,1.3134,1.3529,False
2026-07-25T07:00:00,1.2721,1.1,1.25,1.176,1.3993,1.5901,1.4959,False
2026-07-25T08:00:00,0.5401,1.1,1.25,1.1195,0.5941,0.6751,0.6046,False
2026-07-25T09:00:00,1.1889,1.1,1.25,0.7097,1.3078,1.4861,0.8438,False
2026-07-25T10:00:00,0.4725,1.1,1.25,0.5509,0.5197,0.5906,0.2603,False
2026-07-25T11:00:00,0.7673,1.1,1.25,0.5315,0.8441,0.9592,0.4078,False
2026-07-25T12:00:00,0.9721,1.1,1.25,0.5259,1.0693,1.2151,0.5112,False
