hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.4256,1.1,0.62,1.2641,1.5681,0.8839,1.8021,False
2026-07-20T01:00:00,0.7195,1.1,0.62,1.2248,0.7914,0.4461,0.8812,False
2026-07-20T02:00:00,0.9904,1.1,0.62,1.168,1.0894,0.614,1.1568,False
2026-07-20T03:00:00,1.2824,1.1,0.62,1.1419,1.4107,0.7951,1.4645,False
2026-07-20T04:00:00,0.6722,1.1,0.62,1.1401,0.7394,0.4167,0.7663,False
2026-07-20T05:00:00,1.5188,1.1,0.62,1.1836,1.6707,0.9417,1.7977,False
2026-07-20T06:00:00,2.5965,1.1,1.25,1.2988,2.8561,3.2456,3.3723,False
2026-07-20T07:00:00,2.4745,1.1,1.25,1.3014,2.722,3.0931,3.2204,False
2026-07-20T08:00:00,1.1926,1.1,1.25,1.214,1.3119,1.4908,1.4478,False
2026-07-20T09:00:00,0.6791,1.1,1.25,1.0455,0.747,0.8488,0.7099,False
2026-07-20T10:00:00,1.5091,1.1,1.25,0.891,1.66,1.8864,1.3446,False
2026-07-20T11:00:00,0.7226,1.1,1.25,0.7914,0.7948,0.9032,0.5718,False
2026-07-20T12:00:00,0.8631,1.1,1.25,0.7834,0.9494,1.0789,0.6762,False
2026-07-20T13:00:00,1.1862,1.1,0.62,0.7238,1.3048,0.7354,0.8586,False
2026-07-20T14:00:00,0.7313,1.1,0.62,0.7416,0.8045,0.4534,0.5423,False
2026-07-20T15:00:00,1.4026,1.1,1.25,0.9041,1.5429,1.7533,1.2681,False
2026-07-20T16:00:00,1.4735,1.1,1.25,1.0216,1.6208,1.8419,1.5053,False
2026-07-20T17:00:00,3.7054,1.1,1.25,1.1642,4.0759,4.6317,4.3137,False
2026-07-20T18:00:00,7.294,1.1,1.25,1.3118,8.0234,9.1175,9.5685,False
2026-07-20T19:00:00,5.3757,1.1,1.25,1.446,5.9133,6.7196,7.7734,False
2026-07-20T20:00:00,5.1527,1.1,1.25,1.5031,5.668,6.4409,7.7452,False
