hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.559,1.1,0.62,1.2641,0.6148,0.3465,0.7066,False
2026-07-20T01:00:00,0.1934,1.1,0.62,1.2248,0.2127,0.1199,0.2369,False
2026-07-20T02:00:00,0.3582,1.1,0.62,1.168,0.394,0.2221,0.4184,False
2026-07-20T03:00:00,0.4265,1.1,0.62,1.1419,0.4692,0.2644,0.487,False
2026-07-20T04:00:00,0.1954,1.1,0.62,1.1401,0.2149,0.1211,0.2228,False
2026-07-20T05:00:00,0.3849,1.1,0.62,1.1836,0.4234,0.2386,0.4555,False
2026-07-20T06:00:00,0.4791,1.1,1.25,1.2988,0.527,0.5988,0.6222,False
2026-07-20T07:00:00,0.7357,1.1,1.25,1.3014,0.8093,0.9196,0.9575,False
2026-07-20T08:00:00,0.4776,1.1,1.25,1.214,0.5253,0.597,0.5798,False
2026-07-20T09:00:00,0.4472,1.1,1.25,1.0455,0.4919,0.559,0.4675,False
2026-07-20T10:00:00,2.1612,1.1,1.25,0.891,2.3774,2.7015,1.9256,False
2026-07-20T11:00:00,1.3687,1.1,1.25,0.7914,1.5056,1.7109,1.0832,False
2026-07-20T12:00:00,1.2775,1.1,1.25,0.7834,1.4053,1.5969,1.0009,False
2026-07-20T13:00:00,0.3959,1.1,0.62,0.7238,0.4354,0.2454,0.2865,False
2026-07-20T14:00:00,0.4801,1.1,0.62,0.7416,0.5281,0.2976,0.356,False
2026-07-20T15:00:00,0.7392,1.1,1.25,0.9041,0.8131,0.924,0.6683,False
2026-07-20T16:00:00,0.4589,1.1,1.25,1.0216,0.5048,0.5736,0.4688,False
2026-07-20T17:00:00,0.6298,1.1,1.25,1.1642,0.6928,0.7872,0.7332,False
2026-07-20T18:00:00,1.2012,1.1,1.25,1.3118,1.3213,1.5015,1.5758,False
2026-07-20T19:00:00,1.4932,1.1,1.25,1.446,1.6426,1.8666,2.1593,False
2026-07-20T20:00:00,1.6743,1.1,1.25,1.5031,1.8417,2.0929,2.5167,False
2026-07-20T21:00:00,1.5925,1.1,1.25,1.4755,1.7517,1.9906,2.3497,False
2026-07-20T22:00:00,0.2957,1.1,0.62,1.4187,0.3253,0.1834,0.4196,False
2026-07-20T23:00:00,0.3944,1.1,0.62,1.3391,0.4338,0.2445,0.5281,False
2026-07-21T00:00:00,0.1884,1.1,0.62,1.2936,0.2072,0.1168,0.2437,False
2026-07-21T01:00:00,0.5588,1.1,0.62,1.2613,0.6147,0.3465,0.7049,False
2026-07-21T02:00:00,0.2117,1.1,0.62,1.2107,0.2329,0.1313,0.2563,False
2026-07-21T03:00:00,0.2411,1.1,0.62,1.2058,0.2653,0.1495,0.2908,False
2026-07-21T04:00:00,0.5363,1.1,0.62,1.2153,0.5899,0.3325,0.6517,False
2026-07-21T05:00:00,0.2336,1.1,0.62,1.2372,0.257,0.1448,0.289,False
2026-07-21T06:00:00,0.6532,1.1,1.25,1.3501,0.7185,0.8165,0.8818,False
2026-07-21T07:00:00,0.4153,1.1,1.25,1.3578,0.4569,0.5192,0.564,False
2026-07-21T08:00:00,0.6445,1.1,1.25,1.2882,0.709,0.8057,0.8303,False
2026-07-21T09:00:00,0.6624,1.1,1.25,1.1358,0.7286,0.828,0.7524,False
2026-07-21T10:00:00,1.823,1.1,1.25,0.9942,2.0053,2.2788,1.8125,False
2026-07-21T11:00:00,1.6956,1.1,1.25,0.9009,1.8651,2.1195,1.5276,False
2026-07-21T12:00:00,1.137,1.1,1.25,0.8098,1.2507,1.4212,0.9208,False
2026-07-21T13:00:00,0.3733,1.1,0.62,0.7569,0.4106,0.2315,0.2826,False
2026-07-21T14:00:00,0.533,1.1,0.62,0.7622,0.5863,0.3305,0.4063,False
2026-07-21T15:00:00,0.746,1.1,1.25,0.8381,0.8205,0.9324,0.6252,False
2026-07-21T16:00:00,0.6321,1.1,1.25,0.9613,0.6953,0.7902,0.6076,False
2026-07-21T17:00:00,0.4985,1.1,1.25,1.121,0.5483,0.6231,0.5588,False
2026-07-21T18:00:00,1.0841,1.1,1.25,1.271,1.1925,1.3552,1.3779,False
2026-07-21T19:00:00,1.8891,1.1,1.25,1.3767,2.078,2.3614,2.6008,False
2026-07-21T20:00:00,1.4561,1.1,1.25,1.441,1.6017,1.8201,2.0982,False
2026-07-21T21:00:00,1.5328,1.1,1.25,1.4429,1.6861,1.9161,2.2117,False
2026-07-21T22:00:00,0.4906,1.1,0.62,1.4043,0.5396,0.3042,0.6889,False
2026-07-21T23:00:00,0.1973,1.1,0.62,1.3433,0.217,0.1223,0.265,False
2026-07-22T00:00:00,0.3759,1.1,0.62,1.3292,0.4135,0.2331,0.4997,False
2026-07-22T01:00:00,0.2365,1.1,0.62,1.2896,0.2601,0.1466,0.3049,False
2026-07-22T02:00:00,0.5697,1.1,0.62,1.2332,0.6267,0.3532,0.7026,False
2026-07-22T03:00:00,0.2293,1.1,0.62,1.2287,0.2522,0.1421,0.2817,False
2026-07-22T04:00:00,0.1832,1.1,0.62,1.2236,0.2015,0.1136,0.2242,False
2026-07-22T05:00:00,0.6185,1.1,0.62,1.2222,0.6804,0.3835,0.756,False
2026-07-22T06:00:00,0.4624,1.1,1.25,1.3004,0.5087,0.578,0.6013,False
2026-07-22T07:00:00,0.5744,1.1,1.25,1.2862,0.6319,0.718,0.7388,False
2026-07-22T08:00:00,0.4983,1.1,1.25,1.2121,0.5481,0.6228,0.604,False
2026-07-22T09:00:00,0.6138,1.1,1.25,1.0231,0.6752,0.7673,0.628,False
2026-07-22T10:00:00,1.9599,1.1,1.25,0.8315,2.1559,2.4499,1.6297,False
2026-07-22T11:00:00,1.3064,1.1,1.25,0.6759,1.437,1.6329,0.883,False
2026-07-22T12:00:00,1.2879,1.1,1.25,0.639,1.4167,1.6098,0.8229,False
2026-07-22T13:00:00,0.5608,1.1,0.62,0.6154,0.6169,0.3477,0.3451,False
2026-07-22T14:00:00,0.3346,1.1,0.62,0.653,0.3681,0.2075,0.2185,False
2026-07-22T15:00:00,0.765,1.1,1.25,0.8804,0.8415,0.9563,0.6735,False
2026-07-22T16:00:00,0.6147,1.1,1.25,1.028,0.6762,0.7684,0.632,False
2026-07-22T17:00:00,0.4855,1.1,1.25,1.1228,0.534,0.6068,0.5451,False
2026-07-22T18:00:00,1.2605,1.1,1.25,1.2705,1.3865,1.5756,1.6014,False
