hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.9498,1.1,0.62,1.2641,1.0448,0.5889,1.2007,False
2026-07-20T01:00:00,0.2995,1.1,0.62,1.2248,0.3294,0.1857,0.3668,False
2026-07-20T02:00:00,0.6138,1.1,0.62,1.168,0.6752,0.3806,0.717,False
2026-07-20T03:00:00,0.7054,1.1,0.62,1.1419,0.776,0.4374,0.8056,False
2026-07-20T04:00:00,0.448,1.1,0.62,1.1401,0.4928,0.2777,0.5107,False
2026-07-20T05:00:00,0.714,1.1,0.62,1.1836,0.7854,0.4427,0.8452,False
2026-07-20T06:00:00,0.34,1.1,1.25,1.2988,0.374,0.425,0.4416,False
2026-07-20T07:00:00,0.6132,1.1,1.25,1.3014,0.6745,0.7665,0.798,False
2026-07-20T08:00:00,0.3548,1.1,1.25,1.214,0.3903,0.4435,0.4307,False
2026-07-20T09:00:00,0.4896,1.1,1.25,1.0455,0.5386,0.612,0.5119,False
2026-07-20T10:00:00,1.7692,1.1,1.25,0.891,1.9461,2.2115,1.5763,False
2026-07-20T11:00:00,1.992,1.1,1.25,0.7914,2.1912,2.49,1.5764,False
2026-07-20T12:00:00,1.3466,1.1,1.25,0.7834,1.4812,1.6832,1.055,False
2026-07-20T13:00:00,0.9864,1.1,0.62,0.7238,1.0851,0.6116,0.714,False
2026-07-20T14:00:00,0.895,1.1,0.62,0.7416,0.9845,0.5549,0.6637,False
2026-07-20T15:00:00,1.2572,1.1,1.25,0.9041,1.3829,1.5715,1.1367,False
2026-07-20T16:00:00,1.1664,1.1,1.25,1.0216,1.283,1.458,1.1916,False
2026-07-20T17:00:00,1.1616,1.1,1.25,1.1642,1.2777,1.452,1.3523,False
2026-07-20T18:00:00,1.3354,1.1,1.25,1.3118,1.4689,1.6692,1.7518,False
2026-07-20T19:00:00,0.815,1.1,1.25,1.446,0.8965,1.0188,1.1785,False
2026-07-20T20:00:00,1.2636,1.1,1.25,1.5031,1.39,1.5795,1.8993,False
2026-07-20T21:00:00,1.3112,1.1,1.25,1.4755,1.4423,1.639,1.9347,False
2026-07-20T22:00:00,1.192,1.1,0.62,1.4187,1.3112,0.7391,1.6912,False
2026-07-20T23:00:00,1.2142,1.1,0.62,1.3391,1.3356,0.7528,1.6259,False
2026-07-21T00:00:00,0.2931,1.1,0.62,1.2936,0.3224,0.1817,0.3791,False
2026-07-21T01:00:00,0.8271,1.1,0.62,1.2613,0.9098,0.5128,1.0433,False
2026-07-21T02:00:00,0.3812,1.1,0.62,1.2107,0.4194,0.2364,0.4615,False
2026-07-21T03:00:00,0.5087,1.1,0.62,1.2058,0.5596,0.3154,0.6134,False
2026-07-21T04:00:00,0.8154,1.1,0.62,1.2153,0.8969,0.5055,0.9909,False
2026-07-21T05:00:00,0.4483,1.1,0.62,1.2372,0.4932,0.278,0.5547,False
2026-07-21T06:00:00,0.5657,1.1,1.25,1.3501,0.6223,0.7071,0.7638,False
2026-07-21T07:00:00,0.3038,1.1,1.25,1.3578,0.3342,0.3797,0.4125,False
2026-07-21T08:00:00,0.4864,1.1,1.25,1.2882,0.535,0.608,0.6266,False
2026-07-21T09:00:00,0.5271,1.1,1.25,1.1358,0.5799,0.6589,0.5987,False
2026-07-21T10:00:00,1.7305,1.1,1.25,0.9942,1.9036,2.1631,1.7205,False
2026-07-21T11:00:00,2.0034,1.1,1.25,0.9009,2.2037,2.5042,1.8049,False
2026-07-21T12:00:00,1.4413,1.1,1.25,0.8098,1.5855,1.8017,1.1672,False
