hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.3696,1.1,0.62,1.2641,0.4066,0.2291,0.4672,False
2026-07-20T01:00:00,0.0292,1.1,0.62,1.2248,0.0321,0.0181,0.0358,False
2026-07-20T02:00:00,0.2072,1.1,0.62,1.168,0.228,0.1285,0.2421,False
2026-07-20T03:00:00,0.2249,1.1,0.62,1.1419,0.2473,0.1394,0.2568,False
2026-07-20T04:00:00,0.194,1.1,0.62,1.1401,0.2134,0.1203,0.2212,False
2026-07-20T05:00:00,0.219,1.1,0.62,1.1836,0.2409,0.1358,0.2592,False
2026-07-20T06:00:00,0.2468,1.1,1.25,1.2988,0.2714,0.3085,0.3205,False
2026-07-20T07:00:00,0.5402,1.1,1.25,1.3014,0.5943,0.6753,0.7031,False
2026-07-20T08:00:00,0.316,1.1,1.25,1.214,0.3476,0.395,0.3836,False
2026-07-20T09:00:00,0.4938,1.1,1.25,1.0455,0.5431,0.6172,0.5162,False
2026-07-20T10:00:00,1.6545,1.1,1.25,0.891,1.8199,2.0681,1.4741,False
2026-07-20T11:00:00,1.9368,1.1,1.25,0.7914,2.1305,2.421,1.5327,False
2026-07-20T12:00:00,0.8365,1.1,1.25,0.7834,0.9201,1.0456,0.6553,False
2026-07-20T13:00:00,0.3019,1.1,0.62,0.7238,0.3321,0.1872,0.2185,False
2026-07-20T14:00:00,0.2897,1.1,0.62,0.7416,0.3186,0.1796,0.2148,False
2026-07-20T15:00:00,0.593,1.1,1.25,0.9041,0.6523,0.7413,0.5362,False
2026-07-20T16:00:00,0.4378,1.1,1.25,1.0216,0.4816,0.5473,0.4473,False
2026-07-20T17:00:00,0.4694,1.1,1.25,1.1642,0.5163,0.5867,0.5464,False
2026-07-20T18:00:00,0.65,1.1,1.25,1.3118,0.715,0.8125,0.8527,False
2026-07-20T19:00:00,0.3014,1.1,1.25,1.446,0.3315,0.3767,0.4358,False
2026-07-20T20:00:00,0.6453,1.1,1.25,1.5031,0.7098,0.8066,0.97,False
2026-07-20T21:00:00,0.5001,1.1,1.25,1.4755,0.5501,0.6251,0.7378,False
2026-07-20T22:00:00,0.4461,1.1,0.62,1.4187,0.4908,0.2766,0.633,False
2026-07-20T23:00:00,0.2581,1.1,0.62,1.3391,0.2839,0.16,0.3457,False
2026-07-21T00:00:00,0.0439,1.1,0.62,1.2936,0.0483,0.0272,0.0568,False
2026-07-21T01:00:00,0.3912,1.1,0.62,1.2613,0.4303,0.2425,0.4934,False
2026-07-21T02:00:00,0.0407,1.1,0.62,1.2107,0.0448,0.0253,0.0493,False
2026-07-21T03:00:00,0.2179,1.1,0.62,1.2058,0.2397,0.1351,0.2628,False
2026-07-21T04:00:00,0.2002,1.1,0.62,1.2153,0.2202,0.1241,0.2433,False
2026-07-21T05:00:00,0.215,1.1,0.62,1.2372,0.2365,0.1333,0.266,False
2026-07-21T06:00:00,0.4075,1.1,1.25,1.3501,0.4483,0.5094,0.5502,False
2026-07-21T07:00:00,0.21,1.1,1.25,1.3578,0.231,0.2625,0.2851,False
2026-07-21T08:00:00,0.4713,1.1,1.25,1.2882,0.5184,0.5891,0.6071,False
2026-07-21T09:00:00,0.4624,1.1,1.25,1.1358,0.5086,0.578,0.5252,False
2026-07-21T10:00:00,1.7405,1.1,1.25,0.9942,1.9146,2.1756,1.7305,False
2026-07-21T11:00:00,2.0247,1.1,1.25,0.9009,2.2271,2.5308,1.8241,False
2026-07-21T12:00:00,0.9143,1.1,1.25,0.8098,1.0058,1.1429,0.7404,False
2026-07-21T13:00:00,0.2652,1.1,0.62,0.7569,0.2917,0.1644,0.2007,False
2026-07-21T14:00:00,0.3207,1.1,0.62,0.7622,0.3527,0.1988,0.2444,False
2026-07-21T15:00:00,0.5633,1.1,1.25,0.8381,0.6196,0.7041,0.4721,False
2026-07-21T16:00:00,0.4232,1.1,1.25,0.9613,0.4655,0.529,0.4068,False
2026-07-21T17:00:00,0.4763,1.1,1.25,1.121,0.5239,0.5953,0.5339,False
2026-07-21T18:00:00,0.4446,1.1,1.25,1.271,0.4891,0.5558,0.5651,False
2026-07-21T19:00:00,0.6696,1.1,1.25,1.3767,0.7365,0.837,0.9218,False
2026-07-21T20:00:00,0.46,1.1,1.25,1.441,0.506,0.575,0.6629,False
2026-07-21T21:00:00,0.467,1.1,1.25,1.4429,0.5137,0.5837,0.6738,False
2026-07-21T22:00:00,0.4663,1.1,0.62,1.4043,0.5129,0.2891,0.6548,False
2026-07-21T23:00:00,0.219,1.1,0.62,1.3433,0.2409,0.1358,0.2943,False
2026-07-22T00:00:00,0.2236,1.1,0.62,1.3292,0.246,0.1386,0.2972,False
2026-07-22T01:00:00,0.0418,1.1,0.62,1.2896,0.046,0.0259,0.0539,False
2026-07-22T02:00:00,0.3863,1.1,0.62,1.2332,0.4249,0.2395,0.4763,False
2026-07-22T03:00:00,0.0514,1.1,0.62,1.2287,0.0566,0.0319,0.0632,False
2026-07-22T04:00:00,0.2245,1.1,0.62,1.2236,0.247,0.1392,0.2748,False
2026-07-22T05:00:00,0.2446,1.1,0.62,1.2222,0.2691,0.1517,0.2989,False
2026-07-22T06:00:00,0.4148,1.1,1.25,1.3004,0.4563,0.5185,0.5395,False
2026-07-22T07:00:00,0.3737,1.1,1.25,1.2862,0.4111,0.4671,0.4806,False
2026-07-22T08:00:00,0.3293,1.1,1.25,1.2121,0.3622,0.4116,0.3992,False
2026-07-22T09:00:00,0.4523,1.1,1.25,1.0231,0.4976,0.5654,0.4628,False
2026-07-22T10:00:00,1.7653,1.1,1.25,0.8315,1.9418,2.2066,1.4678,False
2026-07-22T11:00:00,2.0461,1.1,1.25,0.6759,2.2507,2.5576,1.383,False
2026-07-22T12:00:00,0.887,1.1,1.25,0.639,0.9757,1.1088,0.5668,False
2026-07-22T13:00:00,0.4703,1.1,0.62,0.6154,0.5174,0.2916,0.2894,False
2026-07-22T14:00:00,0.1211,1.1,0.62,0.653,0.1332,0.0751,0.0791,False
2026-07-22T15:00:00,0.5707,1.1,1.25,0.8804,0.6278,0.7134,0.5025,False
2026-07-22T16:00:00,0.429,1.1,1.25,1.028,0.4719,0.5362,0.441,False
2026-07-22T17:00:00,0.4549,1.1,1.25,1.1228,0.5003,0.5686,0.5107,False
2026-07-22T18:00:00,0.6623,1.1,1.25,1.2705,0.7285,0.8279,0.8414,False
2026-07-22T19:00:00,0.3198,1.1,1.25,1.394,0.3518,0.3998,0.4458,False
2026-07-22T20:00:00,0.784,1.1,1.25,1.4177,0.8624,0.98,1.1114,False
2026-07-22T21:00:00,0.3098,1.1,1.25,1.3918,0.3408,0.3873,0.4312,False
2026-07-22T22:00:00,0.4591,1.1,0.62,1.3264,0.505,0.2846,0.6089,False
2026-07-22T23:00:00,0.2397,1.1,0.62,1.2654,0.2636,0.1486,0.3033,False
2026-07-23T00:00:00,0.2266,1.1,0.62,1.2554,0.2493,0.1405,0.2845,False
2026-07-23T01:00:00,0.2127,1.1,0.62,1.2294,0.234,0.1319,0.2615,False
2026-07-23T02:00:00,0.0515,1.1,0.62,1.2075,0.0566,0.0319,0.0622,False
2026-07-23T03:00:00,0.2222,1.1,0.62,1.2037,0.2444,0.1377,0.2674,False
2026-07-23T04:00:00,0.2329,1.1,0.62,1.2124,0.2562,0.1444,0.2824,False
2026-07-23T05:00:00,0.1799,1.1,0.62,1.244,0.1979,0.1115,0.2238,False
2026-07-23T06:00:00,0.4347,1.1,1.25,1.3275,0.4782,0.5434,0.577,False
