hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.7473,1.1,0.62,1.2641,0.8221,0.4633,0.9447,False
2026-07-20T01:00:00,0.4091,1.1,0.62,1.2248,0.45,0.2537,0.5011,False
2026-07-20T02:00:00,0.5588,1.1,0.62,1.168,0.6146,0.3464,0.6527,False
2026-07-20T03:00:00,0.5997,1.1,0.62,1.1419,0.6596,0.3718,0.6848,False
2026-07-20T04:00:00,0.3631,1.1,0.62,1.1401,0.3994,0.2251,0.414,False
2026-07-20T05:00:00,0.6756,1.1,0.62,1.1836,0.7432,0.4189,0.7997,False
2026-07-20T06:00:00,1.8361,1.1,1.25,1.2988,2.0197,2.2951,2.3848,False
2026-07-20T07:00:00,2.2389,1.1,1.25,1.3014,2.4628,2.7987,2.9138,False
2026-07-20T08:00:00,1.0341,1.1,1.25,1.214,1.1375,1.2926,1.2554,False
2026-07-20T09:00:00,1.1629,1.1,1.25,1.0455,1.2792,1.4536,1.2158,False
2026-07-20T10:00:00,2.5145,1.1,1.25,0.891,2.766,3.1431,2.2404,False
2026-07-20T11:00:00,0.8311,1.1,1.25,0.7914,0.9142,1.0388,0.6577,False
2026-07-20T12:00:00,1.2505,1.1,1.25,0.7834,1.3755,1.5631,0.9797,False
2026-07-20T13:00:00,0.8318,1.1,0.62,0.7238,0.915,0.5157,0.6021,False
2026-07-20T14:00:00,0.4673,1.1,0.62,0.7416,0.514,0.2897,0.3465,False
2026-07-20T15:00:00,1.0727,1.1,1.25,0.9041,1.18,1.3409,0.9699,False
2026-07-20T16:00:00,0.64,1.1,1.25,1.0216,0.704,0.8,0.6538,False
2026-07-20T17:00:00,3.0061,1.1,1.25,1.1642,3.3067,3.7576,3.4996,False
2026-07-20T18:00:00,2.8287,1.1,1.25,1.3118,3.1116,3.5359,3.7108,False
2026-07-20T19:00:00,2.5815,1.1,1.25,1.446,2.8396,3.2268,3.7329,False
2026-07-20T20:00:00,3.1142,1.1,1.25,1.5031,3.4256,3.8927,4.681,False
2026-07-20T21:00:00,3.7809,1.1,1.25,1.4755,4.159,4.7262,5.5788,False
2026-07-20T22:00:00,3.3819,1.1,0.62,1.4187,3.7201,2.0968,4.798,False
2026-07-20T23:00:00,1.7222,1.1,0.62,1.3391,1.8944,1.0677,2.3062,False
2026-07-21T00:00:00,0.3883,1.1,0.62,1.2936,0.4271,0.2407,0.5023,False
2026-07-21T01:00:00,0.7883,1.1,0.62,1.2613,0.8671,0.4887,0.9943,False
2026-07-21T02:00:00,0.3856,1.1,0.62,1.2107,0.4241,0.2391,0.4668,False
2026-07-21T03:00:00,0.3866,1.1,0.62,1.2058,0.4252,0.2397,0.4661,False
2026-07-21T04:00:00,0.7151,1.1,0.62,1.2153,0.7866,0.4434,0.8691,False
2026-07-21T05:00:00,0.3685,1.1,0.62,1.2372,0.4054,0.2285,0.456,False
2026-07-21T06:00:00,2.2797,1.1,1.25,1.3501,2.5076,2.8496,3.0778,False
2026-07-21T07:00:00,2.2065,1.1,1.25,1.3578,2.4272,2.7582,2.9962,False
2026-07-21T08:00:00,0.8585,1.1,1.25,1.2882,0.9443,1.0731,1.1059,False
