hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.6258,1.1,0.62,1.2641,1.7884,1.008,2.0552,False
2026-07-20T01:00:00,0.9394,1.1,0.62,1.2248,1.0334,0.5824,1.1506,False
2026-07-20T02:00:00,0.9019,1.1,0.62,1.168,0.9921,0.5592,1.0535,False
2026-07-20T03:00:00,0.397,1.1,0.62,1.1419,0.4367,0.2461,0.4533,False
2026-07-20T04:00:00,0.2402,1.1,0.62,1.1401,0.2643,0.1489,0.2739,False
2026-07-20T05:00:00,0.5579,1.1,0.62,1.1836,0.6137,0.3459,0.6604,False
2026-07-20T06:00:00,0.2439,1.1,1.25,1.2988,0.2683,0.3049,0.3168,False
2026-07-20T07:00:00,0.5775,1.1,1.25,1.3014,0.6353,0.7219,0.7516,False
2026-07-20T08:00:00,0.2789,1.1,1.25,1.214,0.3068,0.3487,0.3386,False
2026-07-20T09:00:00,0.3719,1.1,1.25,1.0455,0.409,0.4648,0.3888,False
2026-07-20T10:00:00,0.7374,1.1,1.25,0.891,0.8111,0.9217,0.657,False
2026-07-20T11:00:00,0.3474,1.1,1.25,0.7914,0.3822,0.4343,0.2749,False
2026-07-20T12:00:00,0.4561,1.1,1.25,0.7834,0.5018,0.5702,0.3574,False
2026-07-20T13:00:00,0.7237,1.1,0.62,0.7238,0.7961,0.4487,0.5238,False
2026-07-20T14:00:00,0.7445,1.1,0.62,0.7416,0.8189,0.4616,0.5521,False
2026-07-20T15:00:00,0.685,1.1,1.25,0.9041,0.7535,0.8562,0.6193,False
2026-07-20T16:00:00,0.5172,1.1,1.25,1.0216,0.5689,0.6465,0.5284,False
2026-07-20T17:00:00,0.5178,1.1,1.25,1.1642,0.5696,0.6473,0.6028,False
2026-07-20T18:00:00,1.8821,1.1,1.25,1.3118,2.0703,2.3526,2.469,False
2026-07-20T19:00:00,1.6625,1.1,1.25,1.446,1.8287,2.0781,2.404,False
2026-07-20T20:00:00,2.464,1.1,1.25,1.5031,2.7104,3.08,3.7036,False
