hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.6557,1.1,0.62,1.2641,1.8213,1.0265,2.093,False
2026-07-20T01:00:00,1.2836,1.1,0.62,1.2248,1.412,0.7958,1.5721,False
2026-07-20T02:00:00,0.8303,1.1,0.62,1.168,0.9133,0.5148,0.9698,False
2026-07-20T03:00:00,0.7429,1.1,0.62,1.1419,0.8172,0.4606,0.8484,False
2026-07-20T04:00:00,0.5169,1.1,0.62,1.1401,0.5685,0.3205,0.5893,False
2026-07-20T05:00:00,0.9974,1.1,0.62,1.1836,1.0972,0.6184,1.1806,False
2026-07-20T06:00:00,0.4975,1.1,1.25,1.2988,0.5472,0.6218,0.6461,False
2026-07-20T07:00:00,0.4218,1.1,1.25,1.3014,0.464,0.5272,0.5489,False
2026-07-20T08:00:00,0.2829,1.1,1.25,1.214,0.3112,0.3536,0.3434,False
2026-07-20T09:00:00,0.2186,1.1,1.25,1.0455,0.2405,0.2733,0.2285,False
2026-07-20T10:00:00,0.6966,1.1,1.25,0.891,0.7663,0.8708,0.6207,False
2026-07-20T11:00:00,0.596,1.1,1.25,0.7914,0.6556,0.745,0.4717,False
2026-07-20T12:00:00,0.8506,1.1,1.25,0.7834,0.9356,1.0632,0.6664,False
2026-07-20T13:00:00,1.349,1.1,0.62,0.7238,1.4839,0.8364,0.9764,False
2026-07-20T14:00:00,1.2369,1.1,0.62,0.7416,1.3606,0.7669,0.9173,False
2026-07-20T15:00:00,1.3917,1.1,1.25,0.9041,1.5309,1.7397,1.2583,False
2026-07-20T16:00:00,1.1393,1.1,1.25,1.0216,1.2532,1.4241,1.1639,False
2026-07-20T17:00:00,1.1302,1.1,1.25,1.1642,1.2432,1.4127,1.3157,False
2026-07-20T18:00:00,1.3402,1.1,1.25,1.3118,1.4742,1.6752,1.7581,False
2026-07-20T19:00:00,1.4154,1.1,1.25,1.446,1.5569,1.7692,2.0466,False
2026-07-20T20:00:00,1.974,1.1,1.25,1.5031,2.1714,2.4675,2.9671,False
2026-07-20T21:00:00,1.9454,1.1,1.25,1.4755,2.1399,2.4317,2.8704,False
2026-07-20T22:00:00,1.8888,1.1,0.62,1.4187,2.0777,1.1711,2.6798,False
2026-07-20T23:00:00,3.8696,1.1,0.62,1.3391,4.2565,2.3991,5.1818,False
2026-07-21T00:00:00,1.6285,1.1,0.62,1.2936,1.7914,1.0097,2.1066,False
2026-07-21T01:00:00,2.0386,1.1,0.62,1.2613,2.2425,1.264,2.5714,False
2026-07-21T02:00:00,0.6987,1.1,0.62,1.2107,0.7686,0.4332,0.8459,False
2026-07-21T03:00:00,0.5711,1.1,0.62,1.2058,0.6282,0.3541,0.6886,False
2026-07-21T04:00:00,0.9427,1.1,0.62,1.2153,1.037,0.5845,1.1457,False
2026-07-21T05:00:00,0.5141,1.1,0.62,1.2372,0.5655,0.3187,0.6361,False
2026-07-21T06:00:00,0.7565,1.1,1.25,1.3501,0.8322,0.9457,1.0214,False
2026-07-21T07:00:00,0.2221,1.1,1.25,1.3578,0.2443,0.2776,0.3016,False
2026-07-21T08:00:00,0.2812,1.1,1.25,1.2882,0.3093,0.3515,0.3622,False
2026-07-21T09:00:00,0.4231,1.1,1.25,1.1358,0.4654,0.5289,0.4806,False
2026-07-21T10:00:00,0.4425,1.1,1.25,0.9942,0.4868,0.5532,0.44,False
2026-07-21T11:00:00,0.773,1.1,1.25,0.9009,0.8503,0.9662,0.6964,False
2026-07-21T12:00:00,1.0997,1.1,1.25,0.8098,1.2096,1.3746,0.8905,False
2026-07-21T13:00:00,0.9535,1.1,0.62,0.7569,1.0489,0.5912,0.7218,False
2026-07-21T14:00:00,1.5411,1.1,0.62,0.7622,1.6952,0.9555,1.1746,False
2026-07-21T15:00:00,1.2322,1.1,1.25,0.8381,1.3554,1.5402,1.0327,False
2026-07-21T16:00:00,1.1452,1.1,1.25,0.9613,1.2597,1.4314,1.1008,False
2026-07-21T17:00:00,1.1736,1.1,1.25,1.121,1.2909,1.467,1.3156,False
2026-07-21T18:00:00,0.9601,1.1,1.25,1.271,1.0561,1.2001,1.2202,False
2026-07-21T19:00:00,2.0608,1.1,1.25,1.3767,2.2668,2.576,2.8371,False
2026-07-21T20:00:00,1.4593,1.1,1.25,1.441,1.6053,1.8242,2.1029,False
2026-07-21T21:00:00,1.9861,1.1,1.25,1.4429,2.1847,2.4826,2.8656,False
2026-07-21T22:00:00,2.4972,1.1,0.62,1.4043,2.7469,1.5483,3.5068,False
2026-07-21T23:00:00,3.2055,1.1,0.62,1.3433,3.526,1.9874,4.306,False
2026-07-22T00:00:00,1.6739,1.1,0.62,1.3292,1.8413,1.0378,2.225,False
2026-07-22T01:00:00,1.5151,1.1,0.62,1.2896,1.6666,0.9394,1.9539,False
2026-07-22T02:00:00,0.8623,1.1,0.62,1.2332,0.9486,0.5346,1.0634,False
2026-07-22T03:00:00,0.6985,1.1,0.62,1.2287,0.7683,0.4331,0.8582,False
2026-07-22T04:00:00,0.551,1.1,0.62,1.2236,0.6061,0.3416,0.6742,False
2026-07-22T05:00:00,0.8547,1.1,0.62,1.2222,0.9402,0.5299,1.0446,False
2026-07-22T06:00:00,0.4736,1.1,1.25,1.3004,0.521,0.592,0.6159,False
2026-07-22T07:00:00,0.4899,1.1,1.25,1.2862,0.5389,0.6123,0.6301,False
2026-07-22T08:00:00,0.2662,1.1,1.25,1.2121,0.2928,0.3328,0.3227,False
2026-07-22T09:00:00,0.3088,1.1,1.25,1.0231,0.3397,0.386,0.3159,False
2026-07-22T10:00:00,0.6698,1.1,1.25,0.8315,0.7368,0.8373,0.557,False
2026-07-22T11:00:00,0.7323,1.1,1.25,0.6759,0.8055,0.9154,0.495,False
2026-07-22T12:00:00,1.1578,1.1,1.25,0.639,1.2736,1.4473,0.7398,False
2026-07-22T13:00:00,1.4935,1.1,0.62,0.6154,1.6429,0.926,0.9191,False
2026-07-22T14:00:00,1.0314,1.1,0.62,0.653,1.1346,0.6395,0.6735,False
2026-07-22T15:00:00,1.4296,1.1,1.25,0.8804,1.5725,1.787,1.2587,False
2026-07-22T16:00:00,1.3228,1.1,1.25,1.028,1.4551,1.6536,1.3599,False
2026-07-22T17:00:00,0.776,1.1,1.25,1.1228,0.8536,0.97,0.8713,False
2026-07-22T18:00:00,1.4374,1.1,1.25,1.2705,1.5812,1.7968,1.8262,False
2026-07-22T19:00:00,1.6821,1.1,1.25,1.394,1.8503,2.1026,2.3448,False
2026-07-22T20:00:00,1.7345,1.1,1.25,1.4177,1.9079,2.1681,2.4589,False
2026-07-22T21:00:00,1.834,1.1,1.25,1.3918,2.0174,2.2925,2.5525,False
2026-07-22T22:00:00,1.7897,1.1,0.62,1.3264,1.9687,1.1096,2.3738,False
2026-07-22T23:00:00,3.95,1.1,0.62,1.2654,4.345,2.449,4.9982,False
2026-07-23T00:00:00,1.346,1.1,0.62,1.2554,1.4806,0.8345,1.6897,False
2026-07-23T01:00:00,1.6747,1.1,0.62,1.2294,1.8421,1.0383,2.0588,False
2026-07-23T02:00:00,0.8574,1.1,0.62,1.2075,0.9432,0.5316,1.0354,False
2026-07-23T03:00:00,0.4566,1.1,0.62,1.2037,0.5023,0.2831,0.5496,False
2026-07-23T04:00:00,0.9274,1.1,0.62,1.2124,1.0202,0.575,1.1245,False
2026-07-23T05:00:00,0.5796,1.1,0.62,1.244,0.6375,0.3593,0.721,False
2026-07-23T06:00:00,0.639,1.1,1.25,1.3275,0.7029,0.7988,0.8483,False
2026-07-23T07:00:00,0.3124,1.1,1.25,1.3708,0.3436,0.3904,0.4282,False
2026-07-23T08:00:00,0.2894,1.1,1.25,1.3152,0.3184,0.3618,0.3807,False
2026-07-23T09:00:00,0.5193,1.1,1.25,1.1993,0.5712,0.6491,0.6228,False
2026-07-23T10:00:00,0.4618,1.1,1.25,1.1025,0.508,0.5773,0.5092,False
2026-07-23T11:00:00,0.8454,1.1,1.25,1.0607,0.93,1.0568,0.8968,False
2026-07-23T12:00:00,1.0419,1.1,1.25,1.0259,1.1461,1.3024,1.0689,False
2026-07-23T13:00:00,1.0092,1.1,0.62,0.9736,1.1101,0.6257,0.9825,False
2026-07-23T14:00:00,1.4554,1.1,0.62,0.9455,1.601,0.9024,1.3761,False
2026-07-23T15:00:00,1.1197,1.1,1.25,0.9926,1.2316,1.3996,1.1114,False
2026-07-23T16:00:00,1.3012,1.1,1.25,1.0591,1.4314,1.6266,1.3781,False
2026-07-23T17:00:00,1.166,1.1,1.25,1.1216,1.2826,1.4575,1.3078,False
2026-07-23T18:00:00,0.8964,1.1,1.25,1.2625,0.986,1.1205,1.1316,False
2026-07-23T19:00:00,1.9076,1.1,1.25,1.3233,2.0983,2.3845,2.5244,False
2026-07-23T20:00:00,1.6678,1.1,1.25,1.4061,1.8346,2.0848,2.3451,False
2026-07-23T21:00:00,2.0631,1.1,1.25,1.399,2.2694,2.5789,2.8863,False
2026-07-23T22:00:00,2.301,1.1,0.62,1.3603,2.5311,1.4266,3.13,False
2026-07-23T23:00:00,3.0249,1.1,0.62,1.3642,3.3274,1.8754,4.1265,False
2026-07-24T00:00:00,1.8135,1.1,0.62,1.3854,1.9948,1.1244,2.5124,False
2026-07-24T01:00:00,1.383,1.1,0.62,1.353,1.5213,0.8575,1.8711,False
2026-07-24T02:00:00,0.8257,1.1,0.62,1.3285,0.9082,0.5119,1.0969,False
2026-07-24T03:00:00,0.7326,1.1,0.62,1.3195,0.8059,0.4542,0.9667,False
2026-07-24T04:00:00,0.5254,1.1,0.62,1.3263,0.5779,0.3257,0.6968,False
2026-07-24T05:00:00,0.755,1.1,0.62,1.367,0.8305,0.4681,1.0321,False
2026-07-24T06:00:00,0.4207,1.1,1.25,1.4148,0.4627,0.5258,0.5952,False
2026-07-24T07:00:00,0.4176,1.1,1.25,1.4017,0.4594,0.522,0.5854,False
2026-07-24T08:00:00,0.3451,1.1,1.25,1.2937,0.3796,0.4314,0.4465,False
2026-07-24T09:00:00,0.2204,1.1,1.25,1.1778,0.2424,0.2754,0.2595,False
2026-07-24T10:00:00,0.5809,1.1,1.25,1.0769,0.639,0.7261,0.6256,False
