hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.4547,1.1,0.62,1.2641,1.6002,0.9019,1.8389,False
2026-07-20T01:00:00,0.8649,1.1,0.62,1.2248,0.9514,0.5362,1.0593,False
2026-07-20T02:00:00,0.4575,1.1,0.62,1.168,0.5032,0.2836,0.5343,False
2026-07-20T03:00:00,0.2719,1.1,0.62,1.1419,0.2991,0.1686,0.3105,False
2026-07-20T04:00:00,0.1861,1.1,0.62,1.1401,0.2047,0.1154,0.2121,False
2026-07-20T05:00:00,0.5192,1.1,0.62,1.1836,0.5711,0.3219,0.6145,False
2026-07-20T06:00:00,0.2468,1.1,1.25,1.2988,0.2715,0.3085,0.3206,False
2026-07-20T07:00:00,0.3235,1.1,1.25,1.3014,0.3558,0.4043,0.421,False
2026-07-20T08:00:00,0.2904,1.1,1.25,1.214,0.3195,0.363,0.3526,False
2026-07-20T09:00:00,0.3383,1.1,1.25,1.0455,0.3721,0.4229,0.3537,False
2026-07-20T10:00:00,0.5685,1.1,1.25,0.891,0.6253,0.7106,0.5065,False
2026-07-20T11:00:00,0.4782,1.1,1.25,0.7914,0.526,0.5978,0.3784,False
2026-07-20T12:00:00,0.6554,1.1,1.25,0.7834,0.7209,0.8192,0.5135,False
2026-07-20T13:00:00,0.6547,1.1,0.62,0.7238,0.7202,0.4059,0.4739,False
2026-07-20T14:00:00,0.5619,1.1,0.62,0.7416,0.6181,0.3484,0.4167,False
2026-07-20T15:00:00,0.6588,1.1,1.25,0.9041,0.7247,0.8235,0.5956,False
2026-07-20T16:00:00,0.3233,1.1,1.25,1.0216,0.3557,0.4042,0.3303,False
2026-07-20T17:00:00,0.4067,1.1,1.25,1.1642,0.4473,0.5083,0.4734,False
2026-07-20T18:00:00,0.4736,1.1,1.25,1.3118,0.5209,0.592,0.6213,False
2026-07-20T19:00:00,0.8699,1.1,1.25,1.446,0.9569,1.0874,1.2579,False
2026-07-20T20:00:00,1.0135,1.1,1.25,1.5031,1.1148,1.2669,1.5234,False
2026-07-20T21:00:00,1.0066,1.1,1.25,1.4755,1.1073,1.2583,1.4853,False
2026-07-20T22:00:00,1.0741,1.1,0.62,1.4187,1.1815,0.6659,1.5238,False
2026-07-20T23:00:00,2.7124,1.1,0.62,1.3391,2.9836,1.6817,3.6321,False
2026-07-21T00:00:00,0.9742,1.1,0.62,1.2936,1.0716,0.604,1.2602,False
2026-07-21T01:00:00,0.7895,1.1,0.62,1.2613,0.8685,0.4895,0.9959,False
2026-07-21T02:00:00,0.3135,1.1,0.62,1.2107,0.3449,0.1944,0.3795,False
2026-07-21T03:00:00,0.1303,1.1,0.62,1.2058,0.1433,0.0808,0.1571,False
2026-07-21T04:00:00,0.3678,1.1,0.62,1.2153,0.4046,0.2281,0.447,False
2026-07-21T05:00:00,0.1789,1.1,0.62,1.2372,0.1968,0.1109,0.2213,False
2026-07-21T06:00:00,0.3951,1.1,1.25,1.3501,0.4346,0.4938,0.5334,False
2026-07-21T07:00:00,0.2867,1.1,1.25,1.3578,0.3153,0.3583,0.3892,False
2026-07-21T08:00:00,0.2471,1.1,1.25,1.2882,0.2718,0.3089,0.3183,False
2026-07-21T09:00:00,0.4877,1.1,1.25,1.1358,0.5365,0.6096,0.554,False
2026-07-21T10:00:00,0.2998,1.1,1.25,0.9942,0.3297,0.3747,0.298,False
2026-07-21T11:00:00,0.7066,1.1,1.25,0.9009,0.7773,0.8832,0.6366,False
2026-07-21T12:00:00,0.4782,1.1,1.25,0.8098,0.526,0.5977,0.3872,False
2026-07-21T13:00:00,0.5374,1.1,0.62,0.7569,0.5911,0.3332,0.4067,False
2026-07-21T14:00:00,0.6287,1.1,0.62,0.7622,0.6916,0.3898,0.4792,False
2026-07-21T15:00:00,0.5081,1.1,1.25,0.8381,0.5589,0.6351,0.4258,False
2026-07-21T16:00:00,0.3653,1.1,1.25,0.9613,0.4018,0.4566,0.3512,False
2026-07-21T17:00:00,0.3195,1.1,1.25,1.121,0.3514,0.3994,0.3582,False
2026-07-21T18:00:00,0.5414,1.1,1.25,1.271,0.5955,0.6767,0.6881,False
2026-07-21T19:00:00,0.9935,1.1,1.25,1.3767,1.0928,1.2418,1.3677,False
2026-07-21T20:00:00,0.8021,1.1,1.25,1.441,0.8823,1.0026,1.1558,False
2026-07-21T21:00:00,1.0566,1.1,1.25,1.4429,1.1622,1.3207,1.5245,False
2026-07-21T22:00:00,1.102,1.1,0.62,1.4043,1.2122,0.6833,1.5476,False
2026-07-21T23:00:00,2.4816,1.1,0.62,1.3433,2.7297,1.5386,3.3336,False
2026-07-22T00:00:00,1.4078,1.1,0.62,1.3292,1.5486,0.8728,1.8713,False
2026-07-22T01:00:00,0.992,1.1,0.62,1.2896,1.0912,0.615,1.2793,False
2026-07-22T02:00:00,0.4308,1.1,0.62,1.2332,0.4739,0.2671,0.5313,False
2026-07-22T03:00:00,0.2056,1.1,0.62,1.2287,0.2261,0.1274,0.2526,False
2026-07-22T04:00:00,0.1935,1.1,0.62,1.2236,0.2128,0.12,0.2367,False
2026-07-22T05:00:00,0.3448,1.1,0.62,1.2222,0.3793,0.2138,0.4214,False
2026-07-22T06:00:00,0.2663,1.1,1.25,1.3004,0.293,0.3329,0.3463,False
2026-07-22T07:00:00,0.4621,1.1,1.25,1.2862,0.5083,0.5776,0.5943,False
2026-07-22T08:00:00,0.2787,1.1,1.25,1.2121,0.3066,0.3484,0.3378,False
2026-07-22T09:00:00,0.1987,1.1,1.25,1.0231,0.2186,0.2484,0.2033,False
2026-07-22T10:00:00,0.511,1.1,1.25,0.8315,0.5621,0.6387,0.4249,False
2026-07-22T11:00:00,0.5041,1.1,1.25,0.6759,0.5545,0.6301,0.3407,False
2026-07-22T12:00:00,0.7391,1.1,1.25,0.639,0.813,0.9239,0.4723,False
