hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.6603,1.1,0.62,1.2641,1.8263,1.0294,2.0988,False
2026-07-20T01:00:00,0.875,1.1,0.62,1.2248,0.9625,0.5425,1.0717,False
2026-07-20T02:00:00,1.1125,1.1,0.62,1.168,1.2238,0.6898,1.2995,False
2026-07-20T03:00:00,0.7012,1.1,0.62,1.1419,0.7713,0.4347,0.8007,False
2026-07-20T04:00:00,0.3894,1.1,0.62,1.1401,0.4283,0.2414,0.4439,False
2026-07-20T05:00:00,0.9755,1.1,0.62,1.1836,1.0731,0.6048,1.1547,False
2026-07-20T06:00:00,1.9285,1.1,1.25,1.2988,2.1214,2.4107,2.5048,False
2026-07-20T07:00:00,1.5734,1.1,1.25,1.3014,1.7308,1.9668,2.0477,False
2026-07-20T08:00:00,0.4771,1.1,1.25,1.214,0.5248,0.5964,0.5792,False
2026-07-20T09:00:00,0.5401,1.1,1.25,1.0455,0.5941,0.6751,0.5646,False
2026-07-20T10:00:00,1.2002,1.1,1.25,0.891,1.3202,1.5002,1.0694,False
2026-07-20T11:00:00,0.5394,1.1,1.25,0.7914,0.5934,0.6743,0.4269,False
2026-07-20T12:00:00,0.7263,1.1,1.25,0.7834,0.799,0.9079,0.569,False
2026-07-20T13:00:00,1.0719,1.1,0.62,0.7238,1.1791,0.6646,0.7759,False
2026-07-20T14:00:00,0.9374,1.1,0.62,0.7416,1.0311,0.5812,0.6951,False
2026-07-20T15:00:00,1.1959,1.1,1.25,0.9041,1.3155,1.4949,1.0812,False
2026-07-20T16:00:00,0.985,1.1,1.25,1.0216,1.0835,1.2312,1.0063,False
2026-07-20T17:00:00,2.772,1.1,1.25,1.1642,3.0492,3.465,3.2271,False
2026-07-20T18:00:00,3.1054,1.1,1.25,1.3118,3.4159,3.8817,4.0737,False
2026-07-20T19:00:00,3.0146,1.1,1.25,1.446,3.316,3.7682,4.3591,False
2026-07-20T20:00:00,3.5856,1.1,1.25,1.5031,3.9442,4.482,5.3896,False
2026-07-20T21:00:00,4.5507,1.1,1.25,1.4755,5.0057,5.6883,6.7146,False
2026-07-20T22:00:00,4.8248,1.1,0.62,1.4187,5.3073,2.9914,6.8452,False
2026-07-20T23:00:00,3.2245,1.1,0.62,1.3391,3.547,1.9992,4.318,False
2026-07-21T00:00:00,1.0498,1.1,0.62,1.2936,1.1547,0.6508,1.3579,False
2026-07-21T01:00:00,1.1759,1.1,0.62,1.2613,1.2935,0.7291,1.4832,False
2026-07-21T02:00:00,0.4473,1.1,0.62,1.2107,0.492,0.2773,0.5415,False
2026-07-21T03:00:00,0.5685,1.1,0.62,1.2058,0.6253,0.3524,0.6854,False
2026-07-21T04:00:00,0.8636,1.1,0.62,1.2153,0.95,0.5354,1.0495,False
2026-07-21T05:00:00,0.4868,1.1,0.62,1.2372,0.5354,0.3018,0.6022,False
2026-07-21T06:00:00,2.2144,1.1,1.25,1.3501,2.4359,2.768,2.9898,False
2026-07-21T07:00:00,1.4791,1.1,1.25,1.3578,1.627,1.8489,2.0084,False
2026-07-21T08:00:00,0.5545,1.1,1.25,1.2882,0.61,0.6932,0.7143,False
