hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.9083,1.1,0.62,1.2641,0.9991,0.5631,1.1481,False
2026-07-20T01:00:00,0.292,1.1,0.62,1.2248,0.3212,0.1811,0.3577,False
2026-07-20T02:00:00,0.7375,1.1,0.62,1.168,0.8113,0.4573,0.8614,False
2026-07-20T03:00:00,0.7059,1.1,0.62,1.1419,0.7765,0.4377,0.8061,False
2026-07-20T04:00:00,0.5174,1.1,0.62,1.1401,0.5691,0.3208,0.5899,False
2026-07-20T05:00:00,0.6764,1.1,0.62,1.1836,0.744,0.4193,0.8006,False
2026-07-20T06:00:00,0.5503,1.1,1.25,1.2988,0.6053,0.6878,0.7147,False
2026-07-20T07:00:00,1.1043,1.1,1.25,1.3014,1.2148,1.3804,1.4372,False
2026-07-20T08:00:00,0.5315,1.1,1.25,1.214,0.5847,0.6644,0.6452,False
2026-07-20T09:00:00,0.4656,1.1,1.25,1.0455,0.5122,0.582,0.4868,False
2026-07-20T10:00:00,0.9814,1.1,1.25,0.891,1.0796,1.2268,0.8745,False
2026-07-20T11:00:00,0.4658,1.1,1.25,0.7914,0.5124,0.5823,0.3686,False
2026-07-20T12:00:00,0.4709,1.1,1.25,0.7834,0.518,0.5886,0.3689,False
2026-07-20T13:00:00,0.6601,1.1,0.62,0.7238,0.7261,0.4092,0.4778,False
2026-07-20T14:00:00,0.4929,1.1,0.62,0.7416,0.5421,0.3056,0.3655,False
2026-07-20T15:00:00,0.6863,1.1,1.25,0.9041,0.7549,0.8579,0.6205,False
2026-07-20T16:00:00,0.4632,1.1,1.25,1.0216,0.5095,0.579,0.4732,False
2026-07-20T17:00:00,0.8145,1.1,1.25,1.1642,0.8959,1.0181,0.9482,False
2026-07-20T18:00:00,1.8797,1.1,1.25,1.3118,2.0677,2.3496,2.4658,False
2026-07-20T19:00:00,2.9829,1.1,1.25,1.446,3.2812,3.7286,4.3133,False
2026-07-20T20:00:00,4.7355,1.1,1.25,1.5031,5.209,5.9193,7.118,False
2026-07-20T21:00:00,3.1298,1.1,1.25,1.4755,3.4428,3.9122,4.6181,False
2026-07-20T22:00:00,1.044,1.1,0.62,1.4187,1.1484,0.6473,1.4812,False
2026-07-20T23:00:00,0.8891,1.1,0.62,1.3391,0.978,0.5512,1.1906,False
2026-07-21T00:00:00,0.416,1.1,0.62,1.2936,0.4575,0.2579,0.5381,False
2026-07-21T01:00:00,0.9306,1.1,0.62,1.2613,1.0237,0.577,1.1738,False
2026-07-21T02:00:00,0.2653,1.1,0.62,1.2107,0.2918,0.1645,0.3211,False
2026-07-21T03:00:00,0.45,1.1,0.62,1.2058,0.495,0.279,0.5426,False
2026-07-21T04:00:00,0.9143,1.1,0.62,1.2153,1.0057,0.5668,1.1111,False
2026-07-21T05:00:00,0.45,1.1,0.62,1.2372,0.495,0.279,0.5568,False
2026-07-21T06:00:00,0.7875,1.1,1.25,1.3501,0.8663,0.9844,1.0632,False
2026-07-21T07:00:00,0.7777,1.1,1.25,1.3578,0.8555,0.9721,1.056,False
2026-07-21T08:00:00,0.4767,1.1,1.25,1.2882,0.5244,0.5959,0.6141,False
2026-07-21T09:00:00,0.7271,1.1,1.25,1.1358,0.7998,0.9088,0.8258,False
2026-07-21T10:00:00,0.4734,1.1,1.25,0.9942,0.5208,0.5918,0.4707,False
2026-07-21T11:00:00,0.9925,1.1,1.25,0.9009,1.0917,1.2406,0.8941,False
2026-07-21T12:00:00,0.5164,1.1,1.25,0.8098,0.5681,0.6455,0.4182,False
2026-07-21T13:00:00,0.254,1.1,0.62,0.7569,0.2794,0.1575,0.1923,False
2026-07-21T14:00:00,0.9467,1.1,0.62,0.7622,1.0414,0.5869,0.7216,False
2026-07-21T15:00:00,0.5129,1.1,1.25,0.8381,0.5642,0.6412,0.4299,False
2026-07-21T16:00:00,0.6216,1.1,1.25,0.9613,0.6838,0.777,0.5975,False
2026-07-21T17:00:00,0.6524,1.1,1.25,1.121,0.7177,0.8155,0.7314,False
2026-07-21T18:00:00,1.5555,1.1,1.25,1.271,1.7111,1.9444,1.9771,False
2026-07-21T19:00:00,3.6793,1.1,1.25,1.3767,4.0472,4.5991,5.0654,False
2026-07-21T20:00:00,4.3217,1.1,1.25,1.441,4.7538,5.4021,6.2276,False
2026-07-21T21:00:00,3.238,1.1,1.25,1.4429,3.5618,4.0475,4.672,False
2026-07-21T22:00:00,1.3108,1.1,0.62,1.4043,1.4419,0.8127,1.8407,False
2026-07-21T23:00:00,0.5795,1.1,0.62,1.3433,0.6375,0.3593,0.7785,False
2026-07-22T00:00:00,0.7596,1.1,0.62,1.3292,0.8356,0.471,1.0097,False
