hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.2898,1.1,0.62,1.2641,1.4188,0.7997,1.6305,False
2026-07-20T01:00:00,0.5268,1.1,0.62,1.2248,0.5795,0.3266,0.6452,False
2026-07-20T02:00:00,0.8887,1.1,0.62,1.168,0.9775,0.551,1.038,False
2026-07-20T03:00:00,0.9873,1.1,0.62,1.1419,1.086,0.6121,1.1274,False
2026-07-20T04:00:00,0.474,1.1,0.62,1.1401,0.5214,0.2939,0.5404,False
2026-07-20T05:00:00,0.9138,1.1,0.62,1.1836,1.0052,0.5665,1.0816,False
2026-07-20T06:00:00,0.6981,1.1,1.25,1.2988,0.768,0.8727,0.9068,False
2026-07-20T07:00:00,1.032,1.1,1.25,1.3014,1.1351,1.2899,1.343,False
2026-07-20T08:00:00,0.3337,1.1,1.25,1.214,0.3671,0.4172,0.4052,False
2026-07-20T09:00:00,0.2786,1.1,1.25,1.0455,0.3065,0.3483,0.2913,False
2026-07-20T10:00:00,0.7387,1.1,1.25,0.891,0.8126,0.9234,0.6582,False
2026-07-20T11:00:00,0.3579,1.1,1.25,0.7914,0.3937,0.4473,0.2832,False
2026-07-20T12:00:00,1.0081,1.1,1.25,0.7834,1.1089,1.2601,0.7897,False
2026-07-20T13:00:00,1.0859,1.1,0.62,0.7238,1.1945,0.6733,0.786,False
2026-07-20T14:00:00,1.0768,1.1,0.62,0.7416,1.1845,0.6676,0.7985,False
2026-07-20T15:00:00,1.2574,1.1,1.25,0.9041,1.3831,1.5717,1.1368,False
2026-07-20T16:00:00,1.034,1.1,1.25,1.0216,1.1374,1.2926,1.0564,False
2026-07-20T17:00:00,1.1526,1.1,1.25,1.1642,1.2678,1.4407,1.3418,False
2026-07-20T18:00:00,1.5723,1.1,1.25,1.3118,1.7296,1.9654,2.0626,False
2026-07-20T19:00:00,2.5507,1.1,1.25,1.446,2.8058,3.1884,3.6884,False
2026-07-20T20:00:00,4.255,1.1,1.25,1.5031,4.6805,5.3188,6.3958,False
2026-07-20T21:00:00,2.5123,1.1,1.25,1.4755,2.7635,3.1404,3.7069,False
2026-07-20T22:00:00,1.5427,1.1,0.62,1.4187,1.697,0.9565,2.1887,False
2026-07-20T23:00:00,1.1117,1.1,0.62,1.3391,1.2228,0.6892,1.4886,False
2026-07-21T00:00:00,0.5461,1.1,0.62,1.2936,0.6007,0.3386,0.7065,False
2026-07-21T01:00:00,1.1363,1.1,0.62,1.2613,1.2499,0.7045,1.4333,False
2026-07-21T02:00:00,0.6486,1.1,0.62,1.2107,0.7135,0.4021,0.7852,False
2026-07-21T03:00:00,0.6235,1.1,0.62,1.2058,0.6858,0.3866,0.7518,False
2026-07-21T04:00:00,1.2893,1.1,0.62,1.2153,1.4182,0.7994,1.5668,False
2026-07-21T05:00:00,0.5115,1.1,0.62,1.2372,0.5627,0.3171,0.6329,False
2026-07-21T06:00:00,0.9022,1.1,1.25,1.3501,0.9924,1.1277,1.218,False
2026-07-21T07:00:00,0.6611,1.1,1.25,1.3578,0.7272,0.8264,0.8977,False
2026-07-21T08:00:00,0.4897,1.1,1.25,1.2882,0.5387,0.6122,0.6309,False
2026-07-21T09:00:00,0.5688,1.1,1.25,1.1358,0.6257,0.7111,0.6461,False
2026-07-21T10:00:00,0.3155,1.1,1.25,0.9942,0.347,0.3944,0.3137,False
2026-07-21T11:00:00,0.7603,1.1,1.25,0.9009,0.8364,0.9504,0.685,False
2026-07-21T12:00:00,1.0915,1.1,1.25,0.8098,1.2007,1.3644,0.8839,False
2026-07-21T13:00:00,0.6342,1.1,0.62,0.7569,0.6976,0.3932,0.48,False
2026-07-21T14:00:00,1.3123,1.1,0.62,0.7622,1.4436,0.8137,1.0003,False
2026-07-21T15:00:00,1.218,1.1,1.25,0.8381,1.3398,1.5225,1.0208,False
2026-07-21T16:00:00,1.1579,1.1,1.25,0.9613,1.2737,1.4474,1.1131,False
2026-07-21T17:00:00,1.216,1.1,1.25,1.121,1.3376,1.52,1.3631,False
2026-07-21T18:00:00,0.9658,1.1,1.25,1.271,1.0624,1.2073,1.2276,False
2026-07-21T19:00:00,3.2237,1.1,1.25,1.3767,3.5461,4.0297,4.4382,False
2026-07-21T20:00:00,3.8801,1.1,1.25,1.441,4.2681,4.8501,5.5913,False
2026-07-21T21:00:00,2.3421,1.1,1.25,1.4429,2.5763,2.9276,3.3793,False
2026-07-21T22:00:00,2.2111,1.1,0.62,1.4043,2.4322,1.3709,3.105,False
2026-07-21T23:00:00,0.5803,1.1,0.62,1.3433,0.6383,0.3598,0.7796,False
2026-07-22T00:00:00,0.9702,1.1,0.62,1.3292,1.0673,0.6016,1.2897,False
2026-07-22T01:00:00,0.6136,1.1,0.62,1.2896,0.675,0.3804,0.7913,False
2026-07-22T02:00:00,1.1261,1.1,0.62,1.2332,1.2387,0.6982,1.3888,False
2026-07-22T03:00:00,0.7166,1.1,0.62,1.2287,0.7883,0.4443,0.8805,False
2026-07-22T04:00:00,0.6785,1.1,0.62,1.2236,0.7463,0.4207,0.8302,False
2026-07-22T05:00:00,1.2951,1.1,0.62,1.2222,1.4246,0.8029,1.5828,False
2026-07-22T06:00:00,0.7302,1.1,1.25,1.3004,0.8032,0.9127,0.9496,False
2026-07-22T07:00:00,0.7461,1.1,1.25,1.2862,0.8207,0.9326,0.9597,False
2026-07-22T08:00:00,0.3623,1.1,1.25,1.2121,0.3985,0.4528,0.4391,False
2026-07-22T09:00:00,0.5584,1.1,1.25,1.0231,0.6142,0.698,0.5713,False
2026-07-22T10:00:00,0.5791,1.1,1.25,0.8315,0.637,0.7238,0.4815,False
2026-07-22T11:00:00,0.3761,1.1,1.25,0.6759,0.4137,0.4702,0.2542,False
2026-07-22T12:00:00,1.0951,1.1,1.25,0.639,1.2046,1.3688,0.6997,False
2026-07-22T13:00:00,1.4234,1.1,0.62,0.6154,1.5657,0.8825,0.8759,False
2026-07-22T14:00:00,0.8247,1.1,0.62,0.653,0.9072,0.5113,0.5385,False
2026-07-22T15:00:00,1.2123,1.1,1.25,0.8804,1.3335,1.5154,1.0673,False
2026-07-22T16:00:00,1.355,1.1,1.25,1.028,1.4905,1.6938,1.393,False
2026-07-22T17:00:00,0.7988,1.1,1.25,1.1228,0.8787,0.9985,0.8968,False
2026-07-22T18:00:00,1.5598,1.1,1.25,1.2705,1.7158,1.9497,1.9817,False
2026-07-22T19:00:00,2.6417,1.1,1.25,1.394,2.9058,3.3021,3.6825,False
2026-07-22T20:00:00,4.4798,1.1,1.25,1.4177,4.9277,5.5997,6.3509,False
2026-07-22T21:00:00,2.1905,1.1,1.25,1.3918,2.4096,2.7382,3.0488,False
2026-07-22T22:00:00,1.6882,1.1,0.62,1.3264,1.857,1.0467,2.2391,False
2026-07-22T23:00:00,1.2794,1.1,0.62,1.2654,1.4074,0.7932,1.6189,False
2026-07-23T00:00:00,0.5578,1.1,0.62,1.2554,0.6136,0.3458,0.7003,False
2026-07-23T01:00:00,0.8888,1.1,0.62,1.2294,0.9776,0.551,1.0926,False
2026-07-23T02:00:00,0.6789,1.1,0.62,1.2075,0.7468,0.4209,0.8198,False
2026-07-23T03:00:00,0.7464,1.1,0.62,1.2037,0.821,0.4627,0.8984,False
2026-07-23T04:00:00,0.9594,1.1,0.62,1.2124,1.0553,0.5948,1.1632,False
2026-07-23T05:00:00,0.5704,1.1,0.62,1.244,0.6274,0.3536,0.7095,False
2026-07-23T06:00:00,1.1045,1.1,1.25,1.3275,1.2149,1.3806,1.4662,False
2026-07-23T07:00:00,0.6183,1.1,1.25,1.3708,0.6801,0.7729,0.8476,False
2026-07-23T08:00:00,0.3127,1.1,1.25,1.3152,0.3439,0.3908,0.4112,False
2026-07-23T09:00:00,0.5627,1.1,1.25,1.1993,0.619,0.7034,0.6748,False
2026-07-23T10:00:00,0.5401,1.1,1.25,1.1025,0.5941,0.6751,0.5955,False
2026-07-23T11:00:00,0.5818,1.1,1.25,1.0607,0.64,0.7272,0.6171,False
2026-07-23T12:00:00,1.2185,1.1,1.25,1.0259,1.3404,1.5232,1.25,False
2026-07-23T13:00:00,0.7964,1.1,0.62,0.9736,0.8761,0.4938,0.7754,False
2026-07-23T14:00:00,1.602,1.1,0.62,0.9455,1.7622,0.9932,1.5147,False
2026-07-23T15:00:00,0.947,1.1,1.25,0.9926,1.0417,1.1837,0.94,False
2026-07-23T16:00:00,1.1135,1.1,1.25,1.0591,1.2249,1.3919,1.1793,False
2026-07-23T17:00:00,1.4871,1.1,1.25,1.1216,1.6358,1.8589,1.668,False
2026-07-23T18:00:00,1.0738,1.1,1.25,1.2625,1.1812,1.3422,1.3556,False
2026-07-23T19:00:00,2.8701,1.1,1.25,1.3233,3.1571,3.5876,3.7981,False
2026-07-23T20:00:00,4.1466,1.1,1.25,1.4061,4.5613,5.1833,5.8304,False
2026-07-23T21:00:00,2.4534,1.1,1.25,1.399,2.6988,3.0668,3.4324,False
2026-07-23T22:00:00,1.8609,1.1,0.62,1.3603,2.0469,1.1537,2.5313,False
2026-07-23T23:00:00,0.686,1.1,0.62,1.3642,0.7546,0.4253,0.9358,False
2026-07-24T00:00:00,1.174,1.1,0.62,1.3854,1.2914,0.7279,1.6265,False
2026-07-24T01:00:00,0.6002,1.1,0.62,1.353,0.6603,0.3721,0.8121,False
2026-07-24T02:00:00,0.8234,1.1,0.62,1.3285,0.9057,0.5105,1.0938,False
2026-07-24T03:00:00,0.7507,1.1,0.62,1.3195,0.8258,0.4654,0.9906,False
2026-07-24T04:00:00,0.7731,1.1,0.62,1.3263,0.8504,0.4793,1.0253,False
2026-07-24T05:00:00,0.9309,1.1,0.62,1.367,1.024,0.5772,1.2726,False
2026-07-24T06:00:00,0.6529,1.1,1.25,1.4148,0.7181,0.8161,0.9237,False
2026-07-24T07:00:00,0.848,1.1,1.25,1.4017,0.9328,1.06,1.1887,False
2026-07-24T08:00:00,0.5489,1.1,1.25,1.2937,0.6037,0.6861,0.71,False
2026-07-24T09:00:00,0.2655,1.1,1.25,1.1778,0.2921,0.3319,0.3127,False
2026-07-24T10:00:00,0.4747,1.1,1.25,1.0769,0.5222,0.5934,0.5112,False
2026-07-24T11:00:00,0.5599,1.1,1.25,0.9851,0.6159,0.6999,0.5516,False
2026-07-24T12:00:00,0.8416,1.1,1.25,0.862,0.9258,1.052,0.7255,False
2026-07-24T13:00:00,1.3554,1.1,0.62,0.7894,1.491,0.8404,1.0699,False
2026-07-24T14:00:00,0.9335,1.1,0.62,0.7656,1.0269,0.5788,0.7147,False
2026-07-24T15:00:00,1.4283,1.1,1.25,0.9075,1.5711,1.7854,1.2962,False
2026-07-24T16:00:00,1.0364,1.1,1.25,1.0474,1.14,1.2955,1.0855,False
2026-07-24T17:00:00,0.7414,1.1,1.25,1.1609,0.8156,0.9268,0.8608,False
2026-07-24T18:00:00,1.7725,1.1,1.25,1.3428,1.9497,2.2156,2.38,False
2026-07-24T19:00:00,2.6896,1.1,1.25,1.5197,2.9585,3.362,4.0874,False
2026-07-24T20:00:00,4.1488,1.1,1.25,1.6631,4.5637,5.186,6.9,False
2026-07-24T21:00:00,2.379,1.1,1.25,1.6683,2.6169,2.9737,3.9688,False
2026-07-24T22:00:00,1.8771,1.1,0.62,1.5676,2.0648,1.1638,2.9425,False
2026-07-24T23:00:00,1.0295,1.1,0.62,1.4875,1.1324,0.6383,1.5313,False
2026-07-25T00:00:00,0.6005,1.1,0.62,1.4532,0.6606,0.3723,0.8727,False
2026-07-25T01:00:00,1.1466,1.1,0.62,1.3988,1.2612,0.7109,1.6039,False
2026-07-25T02:00:00,0.6468,1.1,0.62,1.3899,0.7115,0.401,0.8989,False
2026-07-25T03:00:00,0.4672,1.1,0.62,1.3591,0.5139,0.2896,0.6349,False
2026-07-25T04:00:00,1.0476,1.1,0.62,1.3402,1.1523,0.6495,1.404,False
2026-07-25T05:00:00,0.8833,1.1,0.62,1.3231,0.9717,0.5477,1.1687,False
2026-07-25T06:00:00,0.9319,1.1,1.25,1.2876,1.0251,1.1649,1.2,False
2026-07-25T07:00:00,0.6467,1.1,1.25,1.176,0.7114,0.8084,0.7606,False
2026-07-25T08:00:00,0.2568,1.1,1.25,1.1195,0.2825,0.321,0.2875,False
2026-07-25T09:00:00,0.7958,1.1,1.25,0.7097,0.8754,0.9948,0.5648,False
2026-07-25T10:00:00,0.2826,1.1,1.25,0.5509,0.3108,0.3532,0.1557,False
2026-07-25T11:00:00,0.6593,1.1,1.25,0.5315,0.7252,0.8241,0.3504,False
2026-07-25T12:00:00,1.4772,1.1,1.25,0.5259,1.6249,1.8465,0.7769,False
2026-07-25T13:00:00,0.8301,1.1,0.62,0.5261,0.9131,0.5147,0.4367,False
2026-07-25T14:00:00,1.2217,1.1,0.62,0.5277,1.3439,0.7574,0.6447,False
2026-07-25T15:00:00,1.0627,1.1,1.25,0.5489,1.169,1.3284,0.5833,False
2026-07-25T16:00:00,1.3521,1.1,1.25,0.7451,1.4873,1.6902,1.0074,False
2026-07-25T17:00:00,1.1058,1.1,1.25,1.1684,1.2163,1.3822,1.2919,False
2026-07-25T18:00:00,1.0561,1.1,1.25,1.263,1.1618,1.3202,1.3339,False
2026-07-25T19:00:00,3.329,1.1,1.25,1.3913,3.6619,4.1612,4.6317,False
