hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,0.7218,1.1,0.62,1.2641,0.794,0.4475,0.9124,False
2026-07-20T01:00:00,0.2945,1.1,0.62,1.2248,0.3239,0.1826,0.3607,False
2026-07-20T02:00:00,0.5617,1.1,0.62,1.168,0.6178,0.3482,0.656,False
2026-07-20T03:00:00,0.4722,1.1,0.62,1.1419,0.5194,0.2928,0.5392,False
2026-07-20T04:00:00,0.2755,1.1,0.62,1.1401,0.303,0.1708,0.3141,False
2026-07-20T05:00:00,0.5746,1.1,0.62,1.1836,0.632,0.3562,0.6801,False
2026-07-20T06:00:00,0.5567,1.1,1.25,1.2988,0.6124,0.6959,0.723,False
2026-07-20T07:00:00,0.8953,1.1,1.25,1.3014,0.9848,1.1191,1.1651,False
2026-07-20T08:00:00,0.2836,1.1,1.25,1.214,0.3119,0.3544,0.3442,False
2026-07-20T09:00:00,0.2962,1.1,1.25,1.0455,0.3258,0.3702,0.3097,False
2026-07-20T10:00:00,0.718,1.1,1.25,0.891,0.7898,0.8975,0.6397,False
2026-07-20T11:00:00,0.2804,1.1,1.25,0.7914,0.3084,0.3505,0.2219,False
2026-07-20T12:00:00,0.5237,1.1,1.25,0.7834,0.576,0.6546,0.4102,False
2026-07-20T13:00:00,0.3475,1.1,0.62,0.7238,0.3822,0.2154,0.2515,False
2026-07-20T14:00:00,0.5023,1.1,0.62,0.7416,0.5525,0.3114,0.3725,False
2026-07-20T15:00:00,0.4539,1.1,1.25,0.9041,0.4992,0.5673,0.4103,False
2026-07-20T16:00:00,0.3091,1.1,1.25,1.0216,0.34,0.3863,0.3157,False
2026-07-20T17:00:00,0.5258,1.1,1.25,1.1642,0.5784,0.6573,0.6121,False
2026-07-20T18:00:00,0.7605,1.1,1.25,1.3118,0.8366,0.9507,0.9977,False
2026-07-20T19:00:00,1.9267,1.1,1.25,1.446,2.1193,2.4083,2.786,False
2026-07-20T20:00:00,3.6205,1.1,1.25,1.5031,3.9826,4.5257,5.4421,False
2026-07-20T21:00:00,1.8639,1.1,1.25,1.4755,2.0503,2.3298,2.7502,False
2026-07-20T22:00:00,0.867,1.1,0.62,1.4187,0.9537,0.5375,1.23,False
2026-07-20T23:00:00,0.6192,1.1,0.62,1.3391,0.6811,0.3839,0.8291,False
2026-07-21T00:00:00,0.2726,1.1,0.62,1.2936,0.2999,0.169,0.3527,False
2026-07-21T01:00:00,0.7547,1.1,0.62,1.2613,0.8302,0.4679,0.9519,False
2026-07-21T02:00:00,0.286,1.1,0.62,1.2107,0.3146,0.1773,0.3462,False
2026-07-21T03:00:00,0.2616,1.1,0.62,1.2058,0.2877,0.1622,0.3154,False
2026-07-21T04:00:00,0.7902,1.1,0.62,1.2153,0.8692,0.4899,0.9603,False
2026-07-21T05:00:00,0.25,1.1,0.62,1.2372,0.275,0.155,0.3093,False
2026-07-21T06:00:00,0.8205,1.1,1.25,1.3501,0.9026,1.0256,1.1078,False
2026-07-21T07:00:00,0.3677,1.1,1.25,1.3578,0.4045,0.4596,0.4993,False
2026-07-21T08:00:00,0.4427,1.1,1.25,1.2882,0.4869,0.5533,0.5702,False
2026-07-21T09:00:00,0.519,1.1,1.25,1.1358,0.5709,0.6488,0.5896,False
2026-07-21T10:00:00,0.2754,1.1,1.25,0.9942,0.3029,0.3442,0.2738,False
2026-07-21T11:00:00,0.6999,1.1,1.25,0.9009,0.7699,0.8749,0.6306,False
2026-07-21T12:00:00,0.3251,1.1,1.25,0.8098,0.3576,0.4064,0.2633,False
2026-07-21T13:00:00,0.26,1.1,0.62,0.7569,0.286,0.1612,0.1968,False
2026-07-21T14:00:00,0.5714,1.1,0.62,0.7622,0.6285,0.3543,0.4355,False
2026-07-21T15:00:00,0.4094,1.1,1.25,0.8381,0.4503,0.5117,0.3431,False
