hour,kwh,g11PricePlnKwh,g12PricePlnKwh,rdnPricePlnKwh,g11CostPln,g12CostPln,rdnCostPln,rdnPriceMissing
2026-07-20T00:00:00,1.3532,1.1,0.62,1.2641,1.4886,0.839,1.7106,False
2026-07-20T01:00:00,0.4888,1.1,0.62,1.2248,0.5377,0.3031,0.5987,False
2026-07-20T02:00:00,0.9025,1.1,0.62,1.168,0.9928,0.5596,1.0542,False
2026-07-20T03:00:00,0.87,1.1,0.62,1.1419,0.957,0.5394,0.9935,False
2026-07-20T04:00:00,0.6206,1.1,0.62,1.1401,0.6826,0.3848,0.7075,False
2026-07-20T05:00:00,1.4484,1.1,0.62,1.1836,1.5932,0.898,1.7143,False
2026-07-20T06:00:00,2.2932,1.1,1.25,1.2988,2.5226,2.8665,2.9785,False
2026-07-20T07:00:00,2.809,1.1,1.25,1.3014,3.0899,3.5113,3.6557,False
2026-07-20T08:00:00,1.3396,1.1,1.25,1.214,1.4735,1.6745,1.6262,False
2026-07-20T09:00:00,0.7033,1.1,1.25,1.0455,0.7736,0.8791,0.7353,False
2026-07-20T10:00:00,1.064,1.1,1.25,0.891,1.1704,1.33,0.948,False
2026-07-20T11:00:00,0.6993,1.1,1.25,0.7914,0.7692,0.8741,0.5534,False
2026-07-20T12:00:00,0.7746,1.1,1.25,0.7834,0.852,0.9682,0.6068,False
2026-07-20T13:00:00,1.0316,1.1,0.62,0.7238,1.1348,0.6396,0.7467,False
2026-07-20T14:00:00,0.6753,1.1,0.62,0.7416,0.7428,0.4187,0.5008,False
2026-07-20T15:00:00,1.1332,1.1,1.25,0.9041,1.2466,1.4166,1.0246,False
2026-07-20T16:00:00,0.778,1.1,1.25,1.0216,0.8558,0.9726,0.7949,False
2026-07-20T17:00:00,2.5505,1.1,1.25,1.1642,2.8056,3.1882,2.9692,False
2026-07-20T18:00:00,3.9784,1.1,1.25,1.3118,4.3762,4.973,5.219,False
2026-07-20T19:00:00,3.4322,1.1,1.25,1.446,3.7755,4.2903,4.9631,False
2026-07-20T20:00:00,5.5931,1.1,1.25,1.5031,6.1524,6.9914,8.4072,False
2026-07-20T21:00:00,6.4467,1.1,1.25,1.4755,7.0914,8.0584,9.5122,False
2026-07-20T22:00:00,4.5567,1.1,0.62,1.4187,5.0123,2.8251,6.4648,False
2026-07-20T23:00:00,2.4644,1.1,0.62,1.3391,2.7109,1.528,3.3002,False
2026-07-21T00:00:00,0.4906,1.1,0.62,1.2936,0.5397,0.3042,0.6347,False
2026-07-21T01:00:00,1.1734,1.1,0.62,1.2613,1.2907,0.7275,1.48,False
2026-07-21T02:00:00,0.6861,1.1,0.62,1.2107,0.7547,0.4254,0.8306,False
2026-07-21T03:00:00,0.6857,1.1,0.62,1.2058,0.7543,0.4251,0.8268,False
2026-07-21T04:00:00,1.0924,1.1,0.62,1.2153,1.2016,0.6773,1.3275,False
2026-07-21T05:00:00,0.8842,1.1,0.62,1.2372,0.9726,0.5482,1.0939,False
2026-07-21T06:00:00,2.8662,1.1,1.25,1.3501,3.1528,3.5827,3.8697,False
2026-07-21T07:00:00,2.4236,1.1,1.25,1.3578,2.6659,3.0294,3.2908,False
2026-07-21T08:00:00,1.1304,1.1,1.25,1.2882,1.2434,1.413,1.4562,False
2026-07-21T09:00:00,1.2616,1.1,1.25,1.1358,1.3878,1.577,1.433,False
2026-07-21T10:00:00,0.6432,1.1,1.25,0.9942,0.7075,0.804,0.6395,False
2026-07-21T11:00:00,0.9184,1.1,1.25,0.9009,1.0102,1.148,0.8274,False
2026-07-21T12:00:00,0.8943,1.1,1.25,0.8098,0.9838,1.1179,0.7242,False
2026-07-21T13:00:00,0.4961,1.1,0.62,0.7569,0.5457,0.3076,0.3755,False
2026-07-21T14:00:00,1.0826,1.1,0.62,0.7622,1.1909,0.6712,0.8252,False
2026-07-21T15:00:00,0.6794,1.1,1.25,0.8381,0.7473,0.8492,0.5694,False
2026-07-21T16:00:00,0.9158,1.1,1.25,0.9613,1.0073,1.1447,0.8803,False
2026-07-21T17:00:00,2.7123,1.1,1.25,1.121,2.9836,3.3904,3.0406,False
2026-07-21T18:00:00,3.1202,1.1,1.25,1.271,3.4322,3.9003,3.9658,False
2026-07-21T19:00:00,4.3686,1.1,1.25,1.3767,4.8055,5.4607,6.0144,False
2026-07-21T20:00:00,4.941,1.1,1.25,1.441,5.4351,6.1763,7.1201,False
2026-07-21T21:00:00,6.334,1.1,1.25,1.4429,6.9674,7.9175,9.1391,False
2026-07-21T22:00:00,4.8488,1.1,0.62,1.4043,5.3337,3.0063,6.8092,False
2026-07-21T23:00:00,1.8366,1.1,0.62,1.3433,2.0202,1.1387,2.4671,False
2026-07-22T00:00:00,1.0838,1.1,0.62,1.3292,1.1922,0.672,1.4407,False
2026-07-22T01:00:00,0.4818,1.1,0.62,1.2896,0.53,0.2987,0.6213,False
2026-07-22T02:00:00,1.0211,1.1,0.62,1.2332,1.1232,0.6331,1.2592,False
2026-07-22T03:00:00,0.9289,1.1,0.62,1.2287,1.0218,0.5759,1.1413,False
2026-07-22T04:00:00,0.7072,1.1,0.62,1.2236,0.7779,0.4385,0.8654,False
2026-07-22T05:00:00,1.4983,1.1,0.62,1.2222,1.6481,0.9289,1.8312,False
2026-07-22T06:00:00,2.2969,1.1,1.25,1.3004,2.5266,2.8712,2.987,False
2026-07-22T07:00:00,2.5753,1.1,1.25,1.2862,2.8328,3.2191,3.3123,False
2026-07-22T08:00:00,1.3242,1.1,1.25,1.2121,1.4566,1.6553,1.6051,False
2026-07-22T09:00:00,0.6168,1.1,1.25,1.0231,0.6785,0.771,0.631,False
2026-07-22T10:00:00,1.1233,1.1,1.25,0.8315,1.2357,1.4042,0.9341,False
2026-07-22T11:00:00,0.7441,1.1,1.25,0.6759,0.8185,0.9301,0.5029,False
2026-07-22T12:00:00,0.6979,1.1,1.25,0.639,0.7677,0.8724,0.446,False
2026-07-22T13:00:00,1.1675,1.1,0.62,0.6154,1.2842,0.7238,0.7184,False
2026-07-22T14:00:00,0.5069,1.1,0.62,0.653,0.5576,0.3143,0.331,False
2026-07-22T15:00:00,1.101,1.1,1.25,0.8804,1.2111,1.3763,0.9694,False
