profil;sezon;udzial_elastyczny_proc;rdn_vs_g11_bierny_proc;rdn_vs_g11_aktywny_proc;rdn_vs_g12_bierny_proc;rdn_vs_g12_aktywny_proc;zysk_dr_proc;udzial_nocny_bierny_proc;udzial_nocny_aktywny_proc;koszt_g11_zl;koszt_g12_bierny_zl;koszt_g12_aktywny_zl;koszt_rdn_bierny_zl;koszt_rdn_aktywny_zl
Singiel pracujacy;Zima;38,9803;-11,5833;-6,2928;-14,4342;-23,4826;4,7413;27,7930;44,6303;1185,4209;1155,8887;1020,4002;1322,7317;1260,0168
Singiel pracujacy;Wiosna;64,2661;-10,1397;1,0337;-12,9930;-40,3654;10,1448;27,8514;67,2820;335,7556;327,2771;236,7283;369,8001;332,2847
Singiel pracujacy;Lato;31,8419;-11,9235;-6,0189;-22,2609;-35,6043;5,2755;38,0675;57,2355;687,3500;629,2330;537,3882;769,3059;728,7212
Singiel pracujacy;Jesien;53,6383;-13,7577;-5,2795;-13,7943;-23,2273;7,4528;23,5565;40,7897;555,4516;555,2728;474,5515;631,8687;584,7769
Pracownik zdalny;Zima;38,4979;-11,4772;-6,3462;-17,6956;-25,2158;4,6027;32,6032;46,6373;1407,5305;1333,1648;1195,4203;1569,0761;1496,8555
Pracownik zdalny;Wiosna;53,5616;8,2578;10,4129;4,2821;-20,4129;2,3491;30,6566;48,9603;529,3725;507,3849;393,8529;485,6582;474,2497
Pracownik zdalny;Lato;32,7275;-4,4030;-1,9877;-10,5556;-25,3990;2,3135;33,0884;47,9912;905,3722;854,9873;736,3439;945,2360;923,3679
Pracownik zdalny;Jesien;48,7413;-7,7202;-2,3235;-11,3346;-18,6899;5,0100;29,0938;39,4028;772,4140;747,3386;665,9041;832,0462;790,3609
Rodzina 2+2;Zima;47,3086;-12,3068;-5,7534;-14,6579;-27,9214;5,8352;27,0336;47,3598;1785,0482;1748,4453;1475,7107;2004,7302;1887,7494
Rodzina 2+2;Wiosna;68,8146;-4,0865;13,2440;-7,7444;-24,5089;16,6502;29,3498;42,7233;921,9290;890,6300;642,3866;959,6040;799,8285
Rodzina 2+2;Lato;50,1923;-9,7007;-0,1695;-16,3929;-34,2564;8,6884;33,4063;44,8536;1282,5205;1208,7804;956,8963;1406,9342;1284,6943
Rodzina 2+2;Jesien;60,3495;-13,4353;-2,2024;-14,0223;-27,1756;9,9025;24,3879;45,5693;1065,1670;1059,6836;856,0029;1208,2758;1088,6268
Senior samotny;Zima;34,2243;-11,8946;-7,6631;-13,2264;-20,8955;3,7817;25,5274;39,8304;1238,4637;1223,8968;1102,9091;1385,7738;1333,3678
Senior samotny;Wiosna;47,1874;9,5887;10,2202;10,2171;-11,9926;0,6985;22,2953;31,7288;401,2409;404,0491;321,6581;362,7671;360,2331
Senior samotny;Lato;25,0818;-3,7894;-3,3192;-11,0016;-25,1261;0,4531;34,6945;42,6083;747,2114;698,6623;616,9876;775,5265;772,0127
Senior samotny;Jesien;46,6953;-7,8149;-4,0513;-5,9040;-16,2965;3,4908;20,3926;35,2492;605,9431;616,8762;542,1414;653,2967;630,4915
Studenci;Zima;34,6557;-10,2363;-6,3469;-19,4169;-25,5165;3,5283;36,7455;47,0967;1387,0962;1280,4582;1175,2505;1529,0840;1475,1338
Studenci;Wiosna;43,5927;0,5820;5,6097;-17,9697;-29,1019;5,0571;50,5931;59,6494;534,1463;450,1473;390,5305;531,0373;504,1821
Studenci;Lato;26,9071;-7,9138;-5,2381;-28,1156;-36,0677;2,4794;50,6664;55,8643;915,0858;770,7911;707,7502;987,5037;963,0191
Studenci;Jesien;41,1922;-7,9031;-3,7737;-21,9570;-26,3330;3,8270;43,3537;47,0438;752,3360;665,6392;617,9909;811,7937;780,7267
Para bez dzieci;Zima;47,0689;-10,9509;-4,8958;-14,8801;-28,3047;5,4575;29,3933;50,6878;1551,1166;1498,0647;1268,1195;1720,9780;1627,0562
Para bez dzieci;Wiosna;68,7141;-9,0612;6,3726;-11,9541;-35,7687;14,1515;27,9527;55,8351;579,1565;564,1911;399,3919;631,6348;542,2490
Para bez dzieci;Lato;43,0075;-13,1485;-3,6437;-20,9952;-36,9047;8,4002;34,6736;52,7444;942,8929;881,7444;713,8175;1066,8687;977,2495
Para bez dzieci;Jesien;63,1584;-11,8605;-2,7460;-13,2276;-29,4390;8,1481;25,5811;47,7651;866,9474;856,4799;688,1647;969,7718;890,7536
