profil_kod;profil_nazwa;sezon_harmonogram;sezon_ceny;udzial_strefy_nocnej_pct;koszt_G11_pln;koszt_G12_pln;koszt_RDN_pln;roznica_RDN_vs_G11_pct;roznica_RDN_vs_G12_pct;VaR95_RDN_pln;CVaR95_RDN_pln;dni_pokryte;diagonal
A;Singiel-biuro;Jesien;Zima;23,56;555,45;555,27;623,23;-12,2;-12,24;24,6;27,21;30;False
A;Singiel-biuro;Jesien;Wiosna;23,32;555,45;556,03;620,62;-11,73;-11,62;24,02;24,74;30;False
A;Singiel-biuro;Jesien;Lato;23,32;555,45;556,03;665,46;-19,8;-19,68;27,48;28,84;30;False
A;Singiel-biuro;Jesien;Jesien;23,56;555,45;555,27;631,87;-13,76;-13,79;26,15;27,9;30;True
A;Singiel-biuro;Lato;Zima;38,31;687,35;628,26;759,72;-10,53;-20,93;29,98;33,09;30;False
A;Singiel-biuro;Lato;Wiosna;38,07;687,35;629,23;707,89;-2,99;-12,5;27,31;27,89;30;False
A;Singiel-biuro;Lato;Lato;38,07;687,35;629,23;769,31;-11,92;-22,26;30,16;30,86;30;True
A;Singiel-biuro;Lato;Jesien;38,31;687,35;628,26;748,74;-8,93;-19,18;29,83;31,36;30;False
A;Singiel-biuro;Wiosna;Zima;28,25;335,76;326,49;373,74;-11,31;-14,47;14,75;16,25;30;False
A;Singiel-biuro;Wiosna;Wiosna;27,85;335,76;327,28;369,8;-10,14;-12,99;14,39;14,79;30;True
A;Singiel-biuro;Wiosna;Lato;27,85;335,76;327,28;396,08;-17,97;-21,02;16,18;16,96;30;False
A;Singiel-biuro;Wiosna;Jesien;28,25;335,76;326,49;375,55;-11,85;-15,02;15,47;16,34;30;False
A;Singiel-biuro;Zima;Zima;27,79;1185,42;1155,89;1322,73;-11,58;-14,43;52,18;56,89;30;True
A;Singiel-biuro;Zima;Wiosna;27,64;1185,42;1156,93;1307,71;-10,32;-13,03;49,47;50,64;30;False
A;Singiel-biuro;Zima;Lato;27,64;1185,42;1156,93;1389,49;-17,21;-20,1;55,52;57,81;30;False
A;Singiel-biuro;Zima;Jesien;27,79;1185,42;1155,89;1336,21;-12,72;-15,6;54,19;56,98;30;False
B;Pracownik zdalny;Jesien;Zima;29,09;772,41;747,34;863,15;-11,75;-15,5;33,97;37,98;30;False
B;Pracownik zdalny;Jesien;Wiosna;24,79;772,41;766,65;753,05;2,51;1,77;29,69;30,35;30;False
B;Pracownik zdalny;Jesien;Lato;24,79;772,41;766,65;836,74;-8,33;-9,14;32,3;32,61;30;False
B;Pracownik zdalny;Jesien;Jesien;29,09;772,41;747,34;832,05;-7,72;-11,33;32,94;34,52;30;True
B;Pracownik zdalny;Lato;Zima;42,04;905,37;807,97;999,11;-10,35;-23,66;39,23;43,82;30;False
B;Pracownik zdalny;Lato;Wiosna;33,09;905,37;854,99;841,51;7,05;1,58;33,21;33,88;30;False
B;Pracownik zdalny;Lato;Lato;33,09;905,37;854,99;945,24;-4,4;-10,56;35,26;35,74;30;True
B;Pracownik zdalny;Lato;Jesien;42,04;905,37;807,97;948,96;-4,81;-17,45;36,87;38,5;30;False
B;Pracownik zdalny;Wiosna;Zima;33,14;529,37;499,76;589,59;-11,38;-17,98;23,2;25,99;30;False
B;Pracownik zdalny;Wiosna;Wiosna;30,66;529,37;507,38;485,66;8,26;4,28;19,49;19,77;30;True
