profil_kod;profil_nazwa;sezon_harmonogram;koszt_G11_pln;koszt_G12_pln;koszt_RDN_pln;oszczednosc_RDN_vs_G11_pct;oszczednosc_RDN_vs_G12_pct;VaR95_RDN_pln;CVaR95_RDN_pln
A;Singiel-biuro;Jesien;573,88;574,57;623,81;-8,7;-8,57;26,12;27,78
A;Singiel-biuro;Lato;781,92;774,17;778,47;0,44;-0,56;29,18;29,89
A;Singiel-biuro;Wiosna;462,01;447,79;431,48;6,61;3,64;16,53;16,64
A;Singiel-biuro;Zima;1228,31;1229,24;1315,78;-7,12;-7,04;53,27;60,1
B;Remote worker;Jesien;753,06;729,42;780,32;-3,62;-6,98;32,74;34,26
B;Remote worker;Lato;967,12;928,21;943,38;2,45;-1,63;35,31;36,22
B;Remote worker;Wiosna;627,71;578,83;541,85;13,68;6,39;22,02;22,35
B;Remote worker;Zima;1503,42;1457,48;1579,1;-5,03;-8,34;62,99;70,41
C;Rodzina 2+2;Jesien;1031,18;1031,06;1110,15;-7,66;-7,67;47,42;50,23
C;Rodzina 2+2;Lato;1269,47;1233,28;1306,64;-2,93;-5,95;50,37;50,7
C;Rodzina 2+2;Wiosna;936,22;921,15;915,58;2,2;0,6;35,44;36,02
C;Rodzina 2+2;Zima;1956,99;1910,87;2061,91;-5,36;-7,9;82,54;91,23
D;Senior samotny;Jesien;635,92;612,12;634,3;0,26;-3,62;25,84;27,05
D;Senior samotny;Lato;751,61;705,88;729,03;3,0;-3,28;26,86;27,42
D;Senior samotny;Wiosna;427,58;411,22;349,07;18,36;15,11;14,54;14,77
D;Senior samotny;Zima;1291,34;1190,46;1337,42;-3,57;-12,34;53,18;58,57
E;Studenci;Jesien;674,96;566,22;663,39;1,71;-17,16;26,24;27,34
E;Studenci;Lato;976,56;832,6;986,59;-1,03;-18,5;36,7;37,33
E;Studenci;Wiosna;622,86;512,98;564,03;9,45;-9,95;21,39;21,63
E;Studenci;Zima;1603,66;1349,46;1612,06;-0,52;-19,46;63,82;68,61
F;Para DINK;Jesien;900,48;716,84;873,48;3,0;-21,85;34,54;35,69
F;Para DINK;Lato;968,86;807,7;982,17;-1,37;-21,6;36,13;36,92
F;Para DINK;Wiosna;639,08;512,46;589,86;7,7;-15,1;21,98;22,22
F;Para DINK;Zima;1546,02;1242,11;1526,06;1,29;-22,86;60,05;63,97
